,Ticker,MarketCap,AvgVol,Turnover
140,0144.HK,61.280B,6248500,121719857.292
141,0145.HK,728.1M,9247520,5198901.25729
142,0146.HK,415.5M,31354,87614.195
143,0147.HK,5.521B,1216160,374744.05625
144,0148.HK,16.539B,1699230,27044072.4717
145,0149.HK,457.7M,18020700,2788643.33031
146,0151.HK,140.8B,14006700,149384128.525
147,0152.HK,16.289B,2553040,24824361.5551
148,0154.HK,3.474B,3008420,12635178.9766
150,0156.HK,3.721B,6126490,4029155.89333
151,0157.HK,780.8M,456866,257632.670942
152,0158.HK,3.400B,388,80069.1125
153,0159.HK,3.730B,796460,314976.206094
154,0160.HK,1.901B,100061,848198.897222
155,0161.HK,806.2M,365907,1103589.41947
156,0162.HK,1.794B,1837900,4110113.59833
157,0163.HK,6.426B,2050530,4040291.18111
158,0164.HK,644.8M,7401080,1067171.72031
159,0165.HK,17.254B,2432300,29935112.1464
160,0166.HK,506.1M,4244000,2836009.68333
161,0167.HK,413.3M,609966,592003.70625
162,0168.HK,39.136B,896441,63425207.4271
163,0169.HK,8.911B,936009,7236218.87213
164,0170.HK,199.4M,0,-
165,0171.HK,2.167B,427999,1196716.26692
166,0172.HK,1.125B,3220480,1842687.70062
167,0173.HK,14.753B,2536150,20530718.5616
168,0174.HK,437.1M,398241,813611.299237
169,0175.HK,24.203B,37273800,188339418.89
170,0176.HK,669.9M,618004,454209.504774
171,0177.HK,11.279B,3634180,30586962.6126
172,0178.HK,15.068B,9490910,47161685.6997
173,0179.HK,24.337B,4228940,6993308.63594
174,0180.HK,461.2M,747111,408547.104167
175,0181.HK,205.6M,41537,26134.1429167
176,0182.HK,5.725B,29567100,25794954.0917
177,0183.HK,775.6M,1511960,740635.543035
178,0184.HK,2.227B,118999,719776.999105
179,0185.HK,1.389B,4692580,1677190.37517
181,0187.HK,337.0M,947119,1951181.99318
182,0188.HK,763.8M,7304980,409529.377938
183,0189.HK,6.778B,8792480,30575414.3597
184,0190.HK,2.462B,4308310,1321246.28798
185,0191.HK,2.045B,1393680,837236.684027
186,0193.HK,493.6M,534345,134244.748954
187,0194.HK,3.521B,581911,8024023.94681
188,0195.HK,1.847B,21833300,6523704.31749
189,0196.HK,6.253B,7475510,38235045.3236
190,0197.HK,774.6M,6159970,1508325.72395
191,0198.HK,2.583B,12973900,2963093.61874
192,0199.HK,2.873B,528876,791447.519479
193,0200.HK,35.848B,5099890,110567301.127
194,0201.HK,3.489B,1625440,626664.249306
195,0202.HK,2.128B,8847430,6985782.41921
196,0204.HK,1.408B,1635010,8587210.99271
197,0205.HK,522.0M,409119,87105.0694444
198,0206.HK,2.649B,1880140,3614466.31668
199,0207.HK,15.686B,786626,3644471.5757
200,0208.HK,5.460B,3123930,3836313.82986
201,0209.HK,347.3M,147572000,20731044.9863
202,0210.HK,4.848B,4596530,26645435.9919
203,0211.HK,456.7M,2888510,761779.376875
204,0212.HK,1.353B,2235,57706.0476563
205,0213.HK,824.6M,161894,244662.934375
206,0214.HK,1.431B,317742,593196.105937
207,0215.HK,13.879B,5060050,20127186.2653
208,0216.HK,688.8M,63015,261290.534896
209,0217.HK,1.186B,804960,294910.160018
210,0218.HK,1.513B,1739860,2967846.46694
211,0219.HK,918.3M,122966,690323.999167
212,0220.HK,25.223B,4364720,31910212.4653
213,0221.HK,480.0M,52790000,9813528.6362
214,0222.HK,1.919B,120501,572952.400694
215,0223.HK,595.1M,11703500,1953353.53859
216,0224.HK,1.096B,280746,113373.776932
217,0225.HK,1.294B,2428,51228.9910642
218,0226.HK,2.223B,224985,916520.13581
219,0227.HK,1.343B,19345300,4783510.86629
220,0228.HK,950.5M,26709900,2143484.20609
221,0229.HK,422.1M,254013,209775.646094
222,0230.HK,2.804B,1969070,2619434.7442
223,0231.HK,1.338B,14148600,2160673.2096
224,0232.HK,1.340B,8485200,2947391.99229
225,0233.HK,762.8M,9066250,1987438.255
226,0234.HK,882.5M,1847230,203223.525052
227,0235.HK,654.7M,24598000,3851208.48873
228,0236.HK,531.1M,25105,65635.0542882
229,0237.HK,1.312B,5999,69030.9500869
230,0238.HK,977.5M,594550,1048149.93743
231,0239.HK,936.0M,36866,122914.937415
232,0240.HK,300.6M,2465840,398579.851875
233,0241.HK,49.120B,18333400,60078485.6466
234,0242.HK,11.601B,6010780,26425556.4226
235,0243.HK,260.8M,1945230,3019018.44932
236,0244.HK,281.3M,112677,557045.090133
237,0245.HK,371.5M,16135800,2198039.35274
239,0247.HK,30.026B,304,18185.95625
240,0248.HK,161.6M,191668,285961.590468
241,0250.HK,916.1M,16763000,899720.681152
242,0251.HK,3.121B,65057,232962.402118
243,0252.HK,629.3M,2114,1779.73833333
244,0253.HK,516.8M,102070,92566.1036806
245,0254.HK,569.8M,2493750,1227751.28743
246,0255.HK,1.763B,130442,491154.193056
247,0256.HK,4.230B,4765860,3356510.40609
248,0257.HK,49.414B,10745900,133410619.17
249,0258.HK,3.235B,86001,314013.523906
250,0259.HK,1.233B,271798,422327.557549
251,0260.HK,868.0M,2840810,1202241.20025
252,0261.HK,654.1M,22994000,389432.0375
253,0262.HK,298.6M,423300,109393.412066
254,0263.HK,134.2M,326381,104370.173792
255,0264.HK,162.7M,193269,473467.963889
256,0265.HK,893.3M,2494610,360590.834782
257,0266.HK,4.156B,5835,46887.7548611
258,0267.HK,49.480B,13166600,115529542.78
259,0268.HK,6.636B,27034500,66852956.6519
260,0269.HK,8.832B,17020400,15426464.1219
261,0270.HK,55.411B,7907080,54901604.2116
262,0271.HK,922.8M,641102,810371.783333
263,0272.HK,15.044B,7453800,17809747.9321
264,0273.HK,918.7M,810463,39786489.2545
266,0275.HK,353.1M,1421400,703173.276094
267,0276.HK,1.500B,24134100,2783957.23167
268,0277.HK,1.494B,0,7143.1875
269,0278.HK,659.5M,971,8001.05030905
270,0279.HK,825.6M,365689,3433869.87368
271,0280.HK,626.9M,1559880,1065511.42632
272,0281.HK,821.8M,252734,61402.3075
273,0282.HK,2.091B,1265830,1693847.36734
274,0283.HK,16.551B,2307330,8700996.54524
275,0285.HK,15.050B,6415600,35920606.6932
276,0286.HK,1.554B,6257090,4260639.20842
277,0287.HK,256.0M,2179,11239.72986
278,0289.HK,6.313B,14328,462129.219366
279,0290.HK,369.1M,22399800,695028.229886
280,0291.HK,51.926B,2351390,71156426.6781
281,0292.HK,1.829B,647818,295698.333431
282,0293.HK,56.650B,3612800,48801837.5488
283,0294.HK,548.5M,6813,69867.099375
284,0295.HK,1.922B,9619350,1387785.6249
285,0296.HK,3.701B,1539190,6916077.73944
286,0297.HK,7.375B,6450310,12012232.7231
287,0298.HK,829.9M,262602,392775.518437
289,0300.HK,366.6M,1163020,1070697.56502
290,0302.HK,38.346B,1136920,71334007.7462
291,0303.HK,26.229B,248086,31623302.1815
292,0305.HK,735.7M,397992,209557.141875
293,0306.HK,1.201B,517101,366606.506667
294,0307.HK,1.879B,17200600,4234156.73042
295,0308.HK,8.530B,4700150,8529243.57484
296,0309.HK,488.2M,4969830,1613928.90964
297,0310.HK,142.6M,1482710,156308.199583
298,0311.HK,2.233B,348810,1240682.12804
299,0312.HK,873.2M,1164330,543638.769792
300,0313.HK,1.337B,6414610,796219.024566
301,0315.HK,9.414B,1653740,27395113.1041
302,0316.HK,23.819B,708976,40827436.6323
303,0317.HK,8.127B,467463,24401037.5
304,0318.HK,392.6M,2637240,827669.158589
305,0319.HK,2.831B,604365,1314251.41146
306,0320.HK,498.0M,335194,918213.323118
307,0321.HK,10.628B,718719,7724324.47351
308,0322.HK,121.2B,3365910,103120485.507
309,0323.HK,2.790B,7315600,18400378.3292
311,0326.HK,1.704B,41293600,19385439.5847
312,0327.HK,5.237B,6836400,22856430.665
313,0329.HK,1.064B,116221,1245832.54421
314,0330.HK,21.079B,3428280,70577684.5704
317,0333.HK,369.8M,101475,186584.891049
319,0335.HK,1.274B,9642,9318.19375
320,0336.HK,13.923B,3782790,19437620.3756
321,0337.HK,4.031B,840293,7801873.53598
322,0338.HK,7.479B,31084600,49173523.6976
323,0339.HK,92.3M,2180930,521677.779825
324,0340.HK,685.4M,7094970,1913592.66172
325,0341.HK,14.678B,225690,8237170.84809
326,0342.HK,8.616B,4240770,26539098.5951
327,0343.HK,1.067B,958221,3395484.98299
328,0345.HK,10.237B,290743,3952104.0934
329,0346.HK,4.737B,9171210,3640114.19844
330,0347.HK,5.354B,7818980,54212151.9145
331,0348.HK,4.835B,10421400,15256052.7056
332,0350.HK,1.229B,1158730,4301690.80306
333,0351.HK,1.167B,13030800,1494062.57898
334,0352.HK,164.0M,310090,102101.480556
335,0353.HK,369.4M,17800600,606905.915313
336,0354.HK,4.189B,7674650,28959514.0674
337,0355.HK,1.926B,730117,573612.760417
339,0357.HK,1.614B,258164,2460114.72486
340,0358.HK,17.227B,7024320,121423437.274
341,0359.HK,422.1M,145156,86697.9438542
