,Ticker,MarketCap,AvgVol,Turnover
389,CWK.L,613.9M,20164,42907595.5323
394,CZB.L,13.036B,344740,283346993.122
399,DCC.L,2.993B,101527,-
401,DCG.L,629.5M,243789,133330140.645
405,DEB.L,838.7M,2309736,435034229.434
410,DGE.L,45.953B,2851140,7129839998.89
411,DGO.L,2.978B,194778,236537850.003
413,DIA.L,283.8M,32385,116483888.65
415,DJAN.L,796.2M,1510,14057230.9533
417,DLAR.L,821.4M,117347,153821122.172
419,DLG.L,4.036B,3719908,1090161996.66
420,DMGT.L,2.829B,444210,467533337.957
422,DNLM.L,1.756B,52642,83535870.4361
423,DNO.L,682.9M,57729,69481450.9848
425,DOM.L,865.0M,210040,298143413.055
429,DPH.L,630.1M,42061,84970162.8123
430,DPLM.L,720.5M,47743,71065053.2677
432,DPW.L,9.545B,2622,2981127.72115
435,DRS.L,5.4M,25000,499027.977066
438,DRX.L,2.591B,1026591,636754701.372
439,DSC.L,264.0M,44107,31191493.3571
444,DTY.L,734.8M,41422,91810193.9147
446,DVO.L,410.6M,235177,104530251.542
447,DVW.L,72.5M,554,896741.404246
448,DVWA.L,69.2M,142,166353.187789
452,E2V.L,352.7M,47238,41112121.6379
454,EAS.L,96.1M,8945,13865937.51
459,ECM.L,1.152B,506379,177986276.329
466,EDP.L,10.1M,26875,516899.42578
473,EIIB.L,3.888B,5597,18869.0308993
481,ELM.L,1.216B,435835,187558094.401
485,EMG.L,1.814B,6568554,766508726.822
488,ENDV.L,145.0M,68,20528.2395276
491,ENQ.L,1.099B,761251,149566958.079
503,ERM.L,1.399B,14648,57748569.5655
511,ESUR.L,1.093B,278466,186123472.719
512,ETI.L,649.7M,719967,124925534.172
513,ETO.L,874.2M,224912,170491660.399
518,EVR.L,1.338B,2106969,277011274.271
521,EXI.L,230.3M,104036,51467017.6287
522,EXPN.L,9.546B,2015240,2139636745.85
524,EZJ.L,5.793B,1192652,1926779600.28
526,FBH.L,526.5M,374,1333251.87934
