,Ticker,MarketCap,AvgVol,Turnover
172,IF.MI,727.6M,142566,1558132.88398
173,IGD.MI,423.6M,846185,650522.190438
174,IGV.MI,31.7M,164696,83750.6166388
175,IIN.MI,16.1M,9529,24486.7211533
177,IKG.MI,162.1M,648200,202565.575602
178,IKGR.MI,234.0M,190128,-
180,IMA.MI,1.285B,69347,2565850.0983
181,IMS.MI,228.4M,687906,350935.983981
182,IND.MI,1.124B,249667,2505014.21582
184,INGA.MI,39.552B,3793,66233.1692808
185,IP.MI,1.095B,204347,1834949.78477
188,IRC.MI,53.5M,28360,20525.3250118
189,IRE.MI,1.468B,2979714,1954137.45738
190,ISG.MI,33.6M,117824,165369.799625
191,ISP.MI,38.396B,165858320,252359151.459
192,ISPR.MI,33.567B,10375144,11474000.3289
193,IT.MI,1.938B,984387,2473987.23604
196,ITM.MI,1.114B,11026,242742.052695
197,ITMR.MI,767.9M,27176,392565.127571
199,ITW.MI,7.9M,6721,25077.6588645
200,IVS.MI,350.1M,4658,64425.2022549
201,JUVE.MI,216.9M,1983480,926299.818823
202,KNX.MI,66.9M,43119,451641.417658
203,KRE.MI,41.6M,137030,330058.28121
204,LD.MI,176.3M,77706,455776.418165
205,LIT.MI,97.7M,489219,558456.588733
206,LR.MI,131.2M,180473,326616.461547
208,LUX.MI,20.349B,533073,18883404.8604
209,LVEN.MI,11.3M,53703,28633.0755755
210,LVMH.MI,70.657B,257,75414.56207
211,MARR.MI,922.7M,126705,1035994.23933
212,MB.MI,6.398B,6484748,32006168.5649
213,MCH.MI,2.2M,197545,67018.7126276
214,MCK.MI,19.1M,1431,7337.7793456
216,ME.MI,8.2M,683280,40731.4125273
217,MEC.MI,55.8M,229025,43876.652317
218,MED.MI,4.222B,2562968,12234083.6381
223,MIC.MI,26.6M,10702,51006.5624902
225,MIT.MI,123.4M,79095,88920.5989738
226,MLM.MI,135.9M,1995817,1518389.1425
228,MN.MI,233.5M,691779,524894.046813
229,MOL.MI,182.4M,13067,43925.2464418
