Ticker,MarketCap,Turnover
BRO,2.372B,26848138.2594
BRP,2.814B,2861091.97493
BRS,103.3M,18539403.8461
BRY,12.649B,28890569.232
BSAC,25.527B,7852049.37966
BSE,215.0M,247166.505333
BSL,17.820B,1037461.09741
BSV,16.798B,78235452.3049
BSX,50.743B,158612685.495
BTA,5.668B,495854.712843
BTF,121.0M,489734.759469
BTT,4.458B,5381226.29737
BTZ,185.5B,3951480.78057
BUI,2.715B,1141081.3086
BVN,14.753B,25684023.51
BWA,3.529B,105180925.92
BWG,4.276B,1537561.22124
BWP,1.244B,34188122.3515
BWV,18.977B,53980.3926463
BX,103.5M,144619906.599
BXUC,1.309B,3864.24544143
BYD,2.533B,32300881.7379
BZF,548.1M,5030554.72858
BZQ,855.6M,1389238.27233
CAB,1.639B,52597913.2442
CACI,3.432B,21989374.1044
CAF,12.100B,3219474.01417
CAG,23.661B,112931001.893
CAH,37.140B,153029705.432
CAJ,389.0M,10389480.8613
CALX,13.734B,4038548.82094
CAM,475.8M,183231336.355
CAP,257.8M,2581280.78016
CAT,833.3M,483836258.168
CATO,22.657B,3895144.33172
CB,807.0M,104168298.088
CBG,7.269B,63373346.834
CBI,329.3M,95129867.7219
CBK,3.178B,1988926.22972
CBM,372.7M,5048094.57
CBR,35.507B,981200.137085
CBT,1.472B,12912202.22
CBU,429.8M,4959344.76691
CBZ,1.178B,3063020.01142
CCC,11.955B,5708658.00217
CCE,555.9M,91863986.5263
CCH,24.733B,325734.642506
CCI,7.562B,181328416.212
CCJ,6.778B,37884681.3111
CCK,29.549B,50582551.6791
CCL,360.0M,147786761.984
CCM,2.939B,673361.919265
CCO,372.2M,1762236.12245
CCS,239.7M,17533687.5833
CCSC,4.399B,356021.732727
CCZ,925.5M,123469.294054
CDE,286.6M,18941307.5754
CDI,459.0M,771455.937033
CE,3.935B,54935825.6684
CEA,2.247B,399678.296509
CEM,77.807B,3596433.19256
CEW,12.588B,1090945.04638
CFI,9.198B,506463.769982
CFN,4.792B,63153331.4758
CFT,9.155B,5851793.77482
CFX,70.7M,30155914.7516
CGA,2.519B,468518.138322
CGG,493.0M,565854.828787
CGX,39.147B,4295364.5904
CHA,185.9M,2721667.43311
CHC,9.459B,230911.816495
CHD,1.582B,44565916.4896
CHKR,193.6B,2684650.74517
CHL,2.502B,52763156.2826
CHN,2.438B,987151.800004
CHS,1.472B,41207987.1337
CHSP,24.870B,7700103.36294
CHT,35.605B,5082839.84573
CIA,12.820B,572006.748642
CIB,7.400B,17633820.2243
CIF,10.255B,165739.385694
CII,3.216B,2126880.22136
CIM,1.335B,19073875.4401
CKH,586.8M,12024517.9435
CKP,62.200B,2627850.09786
CL,7.167B,196036350.51
CLB,3.075B,54860653.1025
CLC,1.112B,12483234.082
CLD,589.5M,15198685.6041
CLDT,2.200B,3799486.54887
CLF,2.782B,156160048.425
CLGX,3.787B,24489818.4544
CLH,1.957B,35620296.121
CLI,2.089B,20698062.2988
CLR,2.248B,132752546.238
CLS,2.112B,3125808.36364
CLV,1.267B,5054449.68035
CLW,11.737B,7222251.42087
CLY,35.572B,3861768.83004
CM,9.153B,14326897.086
CMA,2.113B,66674154.4549
CMD,18.634B,485211.470119
CMG,28.706B,229370459.782
CMK,4.126B,202362.347107
CMLP,1.489B,9989568.41581
CMN,1.244B,3785303.26531
CMP,1.744B,20576953.0465
CMRE,8.264B,2665135.71316
CMU,10.673B,275006.492082
CNA,4.310B,5882149.3761
CNC,9.448B,35025373.7324
CNH,52.242B,12216902.5911
CNI,3.915B,65559934.2892
CNK,3.523B,19517580.992
CNL,3.839B,13991049.1747
CNO,10.769B,25633732.2438
CNP,49.186B,94827238.9386
CNQ,1.926B,83880410.4732
CNS,2.822B,4971837.07029
CNW,10.645B,28605698.2154
CNY,407.4M,306134.4451
CO,1.268B,555299.834711
CODE,859.7M,12059645.3472
CODI,47.010B,2103003.30279
COG,9.349B,229579837.163
COH,10.624B,233092947.39
COL,6.561B,58367373.5914
COO,105.1B,52535344.2762
COPX,688.5M,287989.498641
CORR,653.7M,806463.83576
COT,40.967B,3267546.02041
CP,6.365B,99106110.7008
CPA,960.2M,50707903.3062
CPAC,14.227B,327634.884129
CPB,451.4M,73898828.5359
CPE,718.5M,4162003.59281
CPI,678.7M,665603.043421
CPK,8.819B,1784463.53783
CPL,10.013B,6891120.69933
CPT,482.3M,37230265.4073
CQQQ,4.371B,1253708.99773
CRH,3.758B,4873508.77911
CRI,1.330B,43144261.3319
CRK,2.600B,23545459.4556
CRL,35.250B,25670968.5099
CRR,3.360B,33418113.6628
CRS,201.4M,18777142.8105
CRT,253.3M,529451.111299
CRY,46.554B,1196291.68719
CS,9.270B,28950841.0665
CSJ,5.509B,73399860.7558
CSP,244.6M,324774.538708
CSS,680.0M,598466.593074
CSU,320.3M,4947687.01355
CSV,30.774B,2370588.11851
CTB,18.3M,36972449.2098
CTC,20.705B,41700.7841682
CTR,623.3M,1875050.68571
CU,1.191B,230539.257773
CUB,2.645B,5115641.68775
CUBE,29.565B,21206579.5739
CUT,2.447B,1219412.25521
CVB,4.725B,9741.60817826
CVC,4.960B,54620858.3781
CVD,23.819B,37014996.3726
CVE,2.137B,29732715.6121
CVH,4.147B,6476698.08204
CVI,239.5M,20644693.9694
CVO,3.658B,1535182.30159
CVRR,88.515B,11804225.4189
CVS,249.8B,359436483.04
CVY,3.206B,4911935.00991
CWI,1.127B,2168556.80876
CWZ,16.128B,32445.5754573
CXH,14.593B,280398.026311
CYB,761.0M,1045294.73121
CZZ,40.573B,14921314.9837
D,654.7M,166911248.236
DAG,33.211B,191716.582804
DAL,3.757B,410918313.311
DAN,983.7M,46259624.0544
DANG,3.390B,37070497.1103
DAR,4.772B,27135673.6617
DATA,37.184B,77433993.327
DBB,2.504B,3038505.20995
DCI,70.371B,16641388.4552
DCM,282.3M,3877803.91859
DCO,2.664B,1622978.79607
DCT,62.282B,40763450.8124
DDC,5.954B,3422877.71648
DDD,46.5M,304020708.573
DDP,6.284B,39697.6044302
DDT,32.792B,175773.21422
DEF,6.707B,963828.988625
DEG,4.082B,3376402.62889
DEI,765.1M,21092801.6698
DFP,28.797B,2060767.00513
DG,2.014B,212968663.05
DGT,8.457B,360526.283128
DHG,7.826B,765642.556924
DHI,55.606B,147940791.326
DHS,492.9M,2604612.75313
DHT,395.4M,1706942.70025
DIM,1.528B,528648.881918
DIN,145.3B,8937941.0755
DIS,1.810B,520603671.133
DKT,548.0M,2707117.46841
DL,4.349B,3069213.62934
DLN,20.649B,6525755.38746
DLPH,7.796B,114409192.499
DLS,2.860B,3616295.3053
DMO,4.073B,664189.35674
DNP,6.468B,3551077.89993
DNY,6.724B,77759.3377186
DOO,14.946B,1601547.64385
DOV,62.197B,99505242.4022
DOW,7.446B,378687176.414
DPK,6.190B,235309.56635
DPO,11.490B,1043479.41193
DPS,4.029B,75360669.1327
DPZ,280.1M,34636644.8516
DQ,4.798B,3506320.92092
