Ticker,MarketCap,AvgVol,Close,Turnover
ANAC,728.4M,405545,15.0335497835,6096780.94694951
ANAD,89.0M,967780,1.7480519481,1691729.71428383
ANAT,2.994B,18936,109.77995671,2078793.26026056
ANCB,46.9M,3923,17.7821459227,69759.3584547521
ANCI,23.7M,15742,2.0148484849,31717.7448485087
ANCX,146.5M,29142,15.1837229437,442484.054025305
ANDE,1.423B,318473,68.2498701299,21735740.8898796
ANGI,695.1M,1253830,15.1884415584,19043723.6791687
ANGO,564.7M,129631,14.6375757576,1897483.58303345
ANIK,662.8M,364175,34.6082251082,12603450.3787787
ANSS,6.817B,475847,81.6821030043,38868183.6682871
ANTH,70.0M,150291,3.2817167382,493212.490300816
AOSL,240.0M,73428,7.6975965665,565219.12068643
APAGF,414.2M,30514,14.7843290043,451129.01523721
APEI,591.2M,134125,39.0106493506,5232303.34414922
APOG,982.5M,185644,31.8765236052,5917685.34816375
APOL,3.485B,2095780,26.8254545455,56220251.127368
APPY,71.2M,433400,2.0704329004,897325.619046362
APRI,81.8M,166720,2.1829437229,363940.377488557
APSA,605.2M,1644,19.6246753247,32262.9662338068
APWC,34.4M,11248,3.2107792208,36114.8446753334
AQU,23.6M,7608,10.1641201717,77328.6262662936
ARAY,681.7M,800559,8.1834199134,6551310.4624676
ARCI,22.4M,46489,3.1337339056,145684.155536509
ARCP,9.414B,13544200,13.2348484848,179255434.847828
ARCW,255.1M,76689,19.4843722944,1494237.02688524
AREX,857.5M,969295,22.4091774892,21721103.6943941
ARIA,1.196B,9232760,9.1943722944,84889432.7445676
ARII,1.426B,267614,51.2016738197,13702284.7375852
ARKR,69.4M,3791,21.6577056277,82104.3620346107
ARLP,3.435B,167197,79.1583982684,13235046.7152817
ARMH,20.904B,1493780,46.9875536481,70189067.8884588
ARNA,1.288B,5010410,6.1503896104,30815973.6077942
AROW,318.4M,24228,25.9827272727,629509.516362976
ARQL,89.7M,603320,2.1143722944,1275643.09263931
ARRS,4.578B,2260300,23.3542424242,52787594.1514193
ARRY,542.4M,1772920,5.1345021645,9103061.57748534
ARTNA,198.6M,20942,22.3505627706,468065.485541905
ARTW,23.9M,4886,6.2348051948,30463.2581818417
ARTX,85.7M,1527540,3.036969697,4639092.69090955
ARUN,1.903B,2009080,18.6971244635,37564018.8171286
ARWR,714.8M,1976900,11.1203463203,21983812.6406011
ASBB,92.9M,5692,17.6687012987,100570.2477922
ASBC,2.835B,912809,16.9562660944,15477832.2973632
ASBI,45.0M,3434,13.1778969957,45252.8982832338
ASCMA,880.3M,63022,76.1369527897,4798303.03871247
ASEI,520.4M,29878,65.7071861472,1963199.30770604
ASFI,109.3M,13800,8.4273160173,116296.961039016
ASGN,1.930B,351506,33.6919480519,11842921.8919312
ASMI,2.600B,5044,36.0916017316,182046.03913419
ASML,40.225B,945233,89.8166233766,84897636.3641338
ASNA,2.671B,1173110,18.6017748918,21821928.1433195
ASPS,2.520B,207778,130.20952381,27054674.4381942
ASRV,64.5M,16781,3.2758441558,54971.940779151
ASTC,64.0M,294964,2.0241558442,597053.10441681
ASTE,972.5M,119720,37.9482683983,4543166.69264448
ASTI,34.8M,695347,0.7020779221,488187.776883171
ASTM,27.0M,326900,3.0186580087,986799.303030954
ASUR,36.4M,8227,5.5479828326,45643.2547639647
ASYS,112.7M,41773,8.7875324675,367081.593766131
ATAI,101.5M,18005,4.3981818182,79189.2636363309
ATAX,362.1M,146139,6.4149350649,937472.195455267
ATEA,8.8M,41634,2.5989177489,108203.341558535
ATEC,131.7M,279773,1.7876623377,500139.655194151
ATHN,4.882B,963595,134.728225108,129823444.072943
ATHX,124.9M,996375,2.3626839827,2354119.25324279
ATLC,38.2M,3823,3.1369264069,11992.4696536934
ATLO,204.8M,13538,22.177012987,300232.401818006
ATML,3.873B,4818040,7.8646753247,37892320.3013212
ATNI,880.9M,64019,56.4328138528,3612772.3100424
ATNY,144.0M,149755,2.9468398268,441303.998268424
ATOS,38.8M,471633,2.5815450644,1217541.84334873
ATRC,516.5M,200681,15.6998701299,3150665.63753846
ATRI,630.6M,4225,280.574632035,1185427.82034788
ATRM,5.3M,24806,4.301991342,106715.197229404
ATRO,1.044B,132648,53.5258008658,7100090.43324664
