,Ticker,MarketCap,AvgVol,Turnover
202,ATO.PA,6.015B,353172,20278679.3801
204,AUB.PA,140.7M,14110,149677.277446
205,AUGR.PA,6.4M,1150,3324.78452506
206,AURE.PA,62.5M,8194,44274.359605
207,AURS.PA,33.0M,867,30145.0634114
208,AVF.PA,25.1M,4495,20894.2432121
209,AVQ.PA,23.9M,101541,246487.085381
211,AXW.PA,465.9M,8844,279517.966702
213,BAIN.PA,778.9M,820,43669.9085275
214,BB.PA,4.677B,43353,4848303.9138
216,BCRA.PA,180.1M,16,817.66025034
217,BELI.PA,164.2M,6696,242466.313072
218,BEN.PA,1.075B,33288,447389.07202
219,BERR.PA,13.4M,486,1489.0031337
220,BH.PA,869.3M,1912,169151.887657
221,BI.PA,8.7M,9366,64507.717722
223,BIM.PA,3.133B,18190,1863520.89074
224,BIO.PA,164.1M,190019,2683855.72297
225,BLC.PA,114.1M,4434,67498.6527091
226,BLEE.PA,43.0M,153,240.546219934
227,BN.PA,32.072B,1637305,86778338.2735
229,BND.PA,42.5M,3131,28726.4466865
230,BNP.PA,61.124B,4902100,207397193.509
232,BOI.PA,1.233B,8531,537494.647223
233,BOL.PA,11.479B,27453,4816645.57037
234,BON.PA,636.4M,11280,338649.024509
235,BQRE.PA,166.6M,82,7133.74312425
237,BSD.PA,77.2M,5607,26977.5914327
239,BUI.PA,14.1M,234,3769.42714485
240,BULL.PA,599.4M,985987,1799378.40987
241,BUR.PA,1.243B,146,198743.853784
242,BVD.PA,227.7M,216398,3247071.91212
243,BVI.PA,8.726B,524045,11337112.6651
245,CA.PA,19.381B,2588946,69775524.6204
246,CAF.PA,2.064B,885,85744.816601
247,CAFO.PA,79.1M,1285,22621.5307855
248,CAM.PA,23.9M,7506,64771.1065983
249,CAP.PA,8.372B,634580,32525426.3166
250,CAPLI.PA,23.3M,7363,17616.397472
252,CARP.PA,23.3M,7,55.1835884368
253,CARPD.PA,84.7M,108,546.949467123
254,CAS.PA,32.5M,20657,62302.4747116
255,CAT31.PA,345.9M,607,53031.4467184
256,CATR.PA,48.977B,184,5747.69236067
257,CBDG.PA,4.478B,3,0
258,CBE.PA,258.2M,1,134.980304967
261,CC.PA,5.875B,394,82290.0184225
262,CCA.PA,15.1M,28,72.5640398753
263,CCE.PA,8.755B,95,1439.06537321
264,CCN.PA,618.5M,434,79087.0259799
265,CDA.PA,392.8M,19568,208314.846414
266,CDI.PA,26.120B,44374,9512352.77656
267,CEN.PA,483.3M,6774,374620.952119
268,CFAO.PA,1.997B,1785,61633.0707796
270,CGD.PA,274.0M,5968,261585.954658
271,CGG.PA,1.846B,2226282,18407808.8533
272,CGM.PA,368.6M,11492,299415.60764
273,CHAU.PA,188.0M,188,1860.15453161
274,CHSR.PA,7.1M,5,41.4987832846
275,CIB.PA,9.9M,816899,32648.9180111
276,CIEM.PA,1.7M,153,250.026267361
277,CIV.PA,375.1M,639,29080.3444618
279,CMA.PA,2.818B,84768,1516114.95671
280,CMO.PA,291.2M,436,34780.7553245
281,CNF.PA,934.8M,5224,167443.480656
282,CNP.PA,10.512B,252562,4958090.64112
284,COH.PA,9.4M,21536,31143.7888517
285,COM.PA,313.5M,424,82418.7130043
288,COUR.PA,7.0M,42,1031.8491623
289,COX.PA,164.7M,254465,1351649.32407
290,CRAP.PA,510.5M,971,31158.9633235
291,CRAV.PA,703.3M,351,32781.8146916
292,CRBP2.PA,752.3M,3534,112564.60097
294,CRI.PA,79.8M,66807,910904.372122
296,CRLA.PA,1.021B,707,53322.1340025
297,CRLO.PA,535.0M,560,19027.4918648
298,CRSU.PA,500.1M,227,35848.3236342
299,CRTO.PA,427.1M,486,29143.9793771
300,CS.PA,42.462B,6613793,110610973.399
302,CTRG.PA,160.8M,8480,171135.211412
303,CU.PA,601.6M,63355,629676.847093
304,CV.PA,15.6M,5321,2451.790224
307,DBG.PA,381.8M,284681,829677.472117
308,DBT.PA,6.4M,1075,2464.21292915
309,DBV.PA,293.4M,25733,344194.956216
310,DEC.PA,6.091B,121596,3875143.68621
314,DEVR.PA,38.6M,1,0
315,DG.PA,30.786B,1453730,70752499.9281
316,DGE.PA,57.335B,759,23891.3693738
317,DGM.PA,21.6M,519114,354005.971247
319,DIG.PA,1.4M,1354,1120.1186954
320,DIM.PA,2.039B,7246,973697.420388
322,DLT.PA,24.2M,1310,15455.0216733
323,DLTA.PA,81.4M,1164,40221.4670612
324,DNX.PA,53.8M,3883,52364.9840864
325,DP.PA,39.7M,42,854.421263633
326,DPAM.PA,21.8M,26,1273.35417797
327,DPT.PA,115.0M,222045,81529.3146984
330,DSY.PA,11.668B,167774,19199869.7714
332,DUC.PA,3.7M,995,611.890968295
333,DUPP.PA,45.366B,312,6664.65275468
334,DVT.PA,158.2M,6140,102758.370757
338,EC.PA,1.913B,534,264491.051347
339,ECASA.PA,107.1M,2955,51764.6266697
340,ECP.PA,142.3M,29087,134841.298402
341,EDEN.PA,4.964B,278214,16238289.2212
342,EDF.PA,42.916B,1974586,37349028.7388
343,EDI.PA,17.7M,107,939.90339805
344,EDL.PA,154.1M,35353,212221.834387
345,EEM.PA,12.9M,1207,8061.29696609
346,EI.PA,16.511B,478821,42816393.8727
348,EKI.PA,38.9M,20434,235684.192541
349,ELE.PA,3.760B,14832,1603430.74052
350,ELEC.PA,778.6M,665,53460.8199436
352,EME.PA,10.6M,174,202.723446718
353,EMG.PA,26.8M,2930,75158.9584566
354,EN.PA,9.822B,1391055,35199365.9389
355,EO.PA,3.456B,339616,10623375.9369
356,EOS.PA,9.2M,2488,19315.2765276
357,EOSI.PA,102.1M,26438,266035.696252
359,ERA.PA,2.372B,17861,2044955.13055
360,ERF.PA,3.423B,11659,2790778.22482
361,ERFNV.PA,3.410B,478,-
363,ES.PA,458.9M,2609,135496.23431
364,ESI.PA,143.6M,2742,115007.588454
365,ETL.PA,5.482B,489384,11294351.1919
366,EUR.PA,173.7M,12311,65093.5892579
367,EURS.PA,716.8M,250,31362.4511826
368,EXAC.PA,84.8M,65,2136.75360273
369,EXE.PA,384.5M,2114,182711.653648
370,EXPL.PA,64.3M,27,3501.0322825
372,FAUV.PA,6.6M,12,36.9838673577
373,FAYE.PA,4.9M,27,1305.35365277
374,FBEL.PA,1.951B,91,88418.6716794
375,FCMC.PA,208.3M,6,0
376,FED.PA,10.8M,114,986.839448357
377,FEM.PA,286.9M,1459,126410.696276
379,FFP.PA,1.211B,6613,350494.75291
380,FGR.PA,4.447B,170821,7162643.56604
381,FII.PA,1.187B,5566,585950.378075
382,FIM.PA,1.577B,1268,165913.920642
384,FIPP.PA,12.7M,25664,3403.46767389
385,FLE.PA,243.8M,1430,62389.272912
386,FLO.PA,118.4M,8290,66965.1276413
387,FNTS.PA,606.3M,185,14023.3884058
389,FORDP.PA,48.281B,570,4318.68419671
390,FORE.PA,84.6M,5,0
391,FP.PA,120.1B,4460802,200216429.928
392,FPG.PA,6.7M,26598,20423.5770734
394,FR.PA,7.679B,330369,27456489.0098
396,FSOR.PA,9.000B,2079,15187.2318412
398,GAM.PA,171.3M,243,9833.04493969
400,GBB.PA,1.642B,83458,2569561.16692
401,GBT.PA,377.5M,8434,741943.290209
402,GDMS.PA,53.1M,4,0
403,GDS.PA,979.8M,28515,118709.013358
404,GEA.PA,100.3M,966,114582.957756
406,GENP.PA,787.8M,4776,251407.114021
408,GET.PA,5.192B,1057852,7682928.18053
409,GFI.PA,375.9M,14719,80066.7492295
410,GFT.PA,517.7M,123742,1469906.31608
411,GID.PA,4.1M,7565,40447.0508219
412,GIRO.PA,29.7M,448,18018.0818168
414,GLE.PA,30.037B,4420381,180644753.104
416,GLO.PA,403.0M,18042,289080.866566
417,GND.PA,1.095B,4140,542033.442972
418,GNE.PA,192.9B,5694,43346.0625173
419,GOE.PA,253.5M,15915,416996.073458
420,GPE.PA,77.4M,1790,105103.392271
421,GREV.PA,43.8M,33,345.700775547
422,GRVO.PA,34.1M,280,4616.39983544
423,GSP.PA,48.3M,2610,5502.24088773
424,GSZ.PA,47.807B,5376685,92278174.6538
426,GUI.PA,14.0M,9961,23844.154304
427,GUYD.PA,8.7M,115,650.672747326
428,HAV.PA,2.478B,539022,4323844.56035
