Ticker,Close,Vol,Turnover
EDV,0.77,238900,183953
EE,0.1,0,0
EFH,13.2,3800,50160
EFL,1.28,66700,85376
EFR,7.89,17400,137286
EFX,20.31,87600,1779156
EH,20.41,12800,261248
EGZ,0.14,301500,42210
EIF,22.6,23000,519800
ELD,7.64,1242100,9489644
ELF,705,0,0
EMA,34.01,226700,7710067
EMD,0.13,20600,2678
EMC,0.09,6170600,555354
ENB,50.49,1073600,54206064
EPS,3.83,1100,4213
EQI,10.69,2200,23518
EQU,5.75,3500,20125
ERD,0.19,26000,4940
ESI,16.53,126700,2094351
ESL,35.09,4200,147378
ESN,2.75,292900,805475
ESP,2.83,22600,63958
ET,17.5,23500,411250
ETG,0.34,29100,9894
EVG,0.02,0,0
ETX,0.6,5000,3000
EVT,91,500,45500
EXF,5.17,110200,569734
EXN,1.34,4100,5494
FAP,5.69,20500,116645
FAR,0.49,25500,12495
FCR,18.53,56000,1037680
FCO,0.21,32000,6720
FFH,505.15,19700,9951455
FFN,8.07,10500,84735
FGX,4.6,1500,6900
FIC,8.97,2000,17940
FIE,7.3,55400,404420
FM,22.51,1306300,29404813
FMC,0.1,11100,1110
FNI,0.03,117000,3510
FNV,59.9,257100,15400290
FOS,0.3,11200,3360
FP,4.19,9800,41062
FR,11.28,276100,3114408
FRO,0.28,5000,1400
FSV,54.05,30600,1653930
FRC,18.4,517400,9520160
FSY,0.35,0,0
FTG,0.55,0,0
FT,0.36,444100,159876
FSZ,12.76,25800,329208
FTN,10.01,32500,325325
FTT,29.88,269500,8052660
FTS,32.32,471600,15242112
FTU,0.23,4000,920
FTP,3.28,16500,54120
FVI,5.8,244400,1417520
FVL,0.2,1200,240
FXF,10.49,600,6294
G,29.54,2031700,60016418
GBU,0.91,41200,37492
GBV,0.88,0,0
GC,17.01,15600,265356
GCG,18,300,5400
GCT,0.34,0,0
GCM,1.6,60600,96960
GDC,4.4,53600,235840
GDL,9.45,0,0
GDS,3.77,0,0
GEI,33.66,164800,5547168
GEN,1.13,15600,17628
GEO,0.8,0,0
GFS,1.85,73100,135235
GGA,0.23,5400,1242
GIL,62.1,301300,18710730
GIX,0.09,40600,3654
GLG,0.31,51800,16058
GLN,10.8,8500,91800
GMO,1.18,0,0
GMP,8.69,93000,808170
GMX,0.24,77900,18696
GMC,0.04,10000,400
GPR,1.31,14400,18864
GQM,1.64,10400,17056
GS,31.53,29700,936441
GSC,0.62,7600,4712
GTE,8.23,169400,1394162
GTX,8.16,0,0
GTH,0.65,1600,1040
GUY,2.46,165000,405900
GVC,1.4,8800,12320
GW,15.05,0,0
GWO,29.93,310500,9293265
GWR,5.54,400,2216
GXI,1.27,144600,183642
HAA,11.49,0,0
HAC,14.72,2100,30912
HAB,10.72,45600,488832
HAF,8.49,5700,48393
HAL,14.46,400,5784
HBD,16.8,5200,87360
HBM,9.9,262800,2601720
HAZ,15.68,22500,352800
HBP,1.89,4000,7560
HCG,47.86,65900,3153974
HCI,3.15,3000,9450
HBU,11.25,20400,229500
HDX,0.33,0,0
HED,8.55,10800,92340
HE,0.08,408200,32656
HEF,9.02,1600,14432
HEE,6.59,6700,44153
HEP,6.38,20400,130152
HEU,8.97,13700,122889
HEX,7.47,10000,74700
HFD,12.01,2700,32427
HEW,12.63,200,2526
HFR,10.19,7300,74387
HFU,23.13,1300,30069
HGU,9.8,715300,7009940
HGD,12.46,862100,10741766
HIU,4.53,700,3171
HIX,8.17,1200,9804
HJU,11.32,500,5660
HJD,5.26,0,0
HLF,24.39,14300,348777
HMD,3.97,0,0
HMU,9.09,1900,17271
HNC,0.04,0,0
HND,5.48,3243000,17771640
HNL,7.55,145900,1101545
HNU,15.05,2010000,30250500
HOD,3.46,832000,2878720
HOU,5.56,411700,2289052
HQU,22.05,5600,123480
HQD,7.2,49700,357840
HPR,10.06,18200,183092
HRT,0.22,1523000,335060
HRX,11.15,115200,1284480
HSD,11.58,112900,1307382
HSE,34.63,621100,21508693
HSU,28.3,202900,5742070
HTD,6.61,15300,101133
HUC,12.03,0,0
HUG,12.89,1900,24491
HUN,11.72,300,3516
HUV,4.03,900,3627
HUZ,13.14,600,7884
HVU,3.03,1146000,3472380
HWD,11.15,8300,92545
HWO,5.23,49700,259931
HXD,5.12,234000,1198080
HXS,37.01,12100,447821
HXT,27.03,28000,756840
HXU,28.26,209400,5917644
HYD,0.82,23800,19516
HYG,18.67,5200,97084
HZD,6.66,16500,109890
HZM,0.12,0,0
I,4.05,33700,136485
HZU,7.75,42700,330925
IAG,46.8,207900,9729720
IAM,0.9,0,0
IAU,0.24,385000,92400
IBG,1.35,21700,29295
ICE,2.36,400,944
ICP,0.32,29200,9344
IDG,10.51,22500,236475
IDC,0.09,1500,135
IE,0.42,58000,24360
IFC,71.75,200900,14414575
IGM,50.04,383000,19165320
IGT,13.65,5100,69615
III,15.1,32700,493770
IM,1.22,2600,3172
IMO,56.17,310300,17429551
IMX,29.47,81700,2407699
IMP,0.25,0,0
INE,10.77,77500,834675
INQ,2.25,0,0
INV,0.03,41200,1236
IRD,0.8,500,400
IRL,0.21,438500,92085
IRG,2.45,63300,155085
ISM,0.07,7000,490
ITH,0.73,28900,21097
ITP,11.78,125300,1476034
IVN,1.36,232300,315928
IVW,0.14,0,0
JDN,0.09,2000,180
JEC,0.32,10000,3200
K,4.45,1599800,7119110
KAT,0.39,12900,5031
KBL,39.1,4200,164220
KFS,6.73,400,2692
KGI,3.43,127300,436639
KMP,10.56,46700,493152
KOR,1.28,9100,11648
KRN,1.27,2900,3683
L,47.33,335000,15855550
LAC,0.24,308500,74040
LAM,0.39,30200,11778
LB,50.45,80100,4041045
LCS,7.2,800,5760
LEG,9.48,1082800,10264944
LEX,0.11,22200,2442
LFE,3.93,12100,47553
LII,6.6,0,0
LIM,0.1,56800,5680
LNF,14.5,2400,34800
LNR,61.69,111900,6903111
LOR,0.5,158700,79350
LPK,0.16,129300,20688
LUN,5.63,2737700,15413251
LSG,0.95,724500,688275
LUP,20.91,0,0
LW,12.86,29800,383228
LWP,4.63,47500,219925
LXF,8.52,0,0
LYD,1.14,140800,160512
MAG,11.31,120000,1357200
MAA,0.19,0,0
MAL,11.52,5600,64512
MAK,0.07,0,0
MAX,0.84,61100,51324
MAW,0.38,29000,11020
MBC,0.44,168100,73964
MBN,5.16,6100,31476
MBA,0.37,94900,35113
MBT,30.5,183200,5587600
MBX,0.35,152600,53410
MCB,6.42,20600,132252
MDA,86.3,40800,3521040
MCZ,0.65,800,520
MDF,19.31,3100,59861
MDI,7.63,100700,768341
MDN,0.06,48000,2880
MEG,38.17,299300,11424281
ME,0.09,52400,4716
MEQ,39.35,6400,251840
MET,2.95,0,0
MFI,19.8,97600,1932480
MFC,21.13,2030100,42896013
MG,115.14,446000,51352440
MGA,0.19,196100,37259
MGO,1.42,19000,26980
MIC,37.73,43500,1641255
MGT,1.2,700,840
MKP,14.36,6700,96212
ML,0.1,210700,21070
MLP,11.76,39900,469224
MM,0.52,34800,18096
MMM,0.4,14400,5760
MND,1,271200,271200
MNR,0.03,0,0
MOZ,0.29,2400,696
MPI,4.85,500,2425
MOL,0.07,156100,10927
MPC,2.64,0,0
MPV,4.99,15900,79341
MRC,144.56,900,130104
MRD,26.22,21400,561108
MRE,12.5,87800,1097500
MRN,0.01,0,0
MSI,16.94,98200,1663508
MSV,0.98,49600,48608
MTY,29.25,20500,599625
MTL,30.42,192600,5858892
MWE,0.4,12400,4960
MX,65.24,326600,21307384
MXF,4.93,3900,19227
MXG,3.11,1400,4354
NA,45.24,474000,21443760
NAL,21.35,240800,5141080
NBD,26.31,119900,3154569
NCU,2.6,55500,144300
NDM,0.89,109900,97811
NDN,13.56,8000,108480
NDQ,17.16,200,3432
NGD,6.83,440300,3007249
NG,4.43,117100,518753
NGQ,2.2,38800,85360
NHC,1.02,26500,27030
NI,0.06,276200,16572
NII,0.53,18900,10017
NIO,0.16,0,0
NKO,2.16,91400,197424
NLN,1.12,110000,123200
NOA,8.56,49300,422008
NPI,18.27,131500,2402505
NRE,0.11,0,0
NRG,0.71,132600,94146
NRI,2.84,12900,36636
NSU,3.92,106800,418656
NUS,0.55,45800,25190
NVA,11.81,366300,4326003
NWC,23.83,55200,1315416
NWI,0.02,922300,18446
NXJ,2,24000,48000
OCX,66.15,69300,4584195
OGC,3.26,386800,1260968
OGD,1.5,3000,4500
ONC,1.4,33400,46760
ONE,0.24,34700,8328
OPM,1.8,0,0
ORA,0.14,72000,10080
ORE,0.8,97000,77600
ORV,0.54,13500,7290
ORL,2.36,1500,3540
OSU,0.05,0,0
OTC,50.77,206700,10494159
OXF,7.41,300,2223
P,8.27,704400,5825388
PAA,16.22,166700,2703874
PBH,21.95,29800,654110
PBL,3.87,10800,41796
PD,14.91,918000,13687380
PDC,25.4,0,0
PDN,0.3,864600,259380
PDV,7.63,1800,13734
PEY,39.95,283000,11305850
PFB,4.84,0,0
PFH,21.15,2800,59220
PG,2.84,310600,882104
PGD,0.41,26000,10660
PGL,21.46,0,0
PIH,4.14,1000,4140
PLG,1.38,118500,163530
PLI,1.09,215100,234459
PLS,2.6,53700,139620
PME,4.07,13900,56573
PMT,1.96,2713600,5318656
PNP,0.48,264300,126864
POM,1.17,1100,1287
POT,40.56,788700,31989672
POU,61.27,134700,8253069
POW,29.47,537200,15831284
PPS,18.03,400,7212
PRE,22.03,1272100,28024363
PRI,5.45,200,1090
PRW,1.35,12902300,17418105
PSB,19.5,29200,569400
PSI,30.42,20600,626652
PSD,3.18,197600,628368
PSR,0.06,3000,180
PTM,1.26,35100,44226
PTQ,0.12,8000,960
PTS,25.15,2700,67905
PUR,7.06,11000,77660
PTZ,1.5,9600,14400
PWC,0.68,18500,12580
PWE,0.06,17700,1062
PVG,8.61,669700,5766117
PWF,32.83,648200,21280406
PXX,2.25,215600,485100
PZG,1.02,600,612
QEC,1.26,12200,15372
QLT,6.59,79900,526541
QQC,33.52,800,26816
R,0.86,1929700,1659542
RBA,26.17,57600,1507392
RBM,1.46,0,0
RBS,17.25,600,10350
RC,2.67,1000,2670
RCH,48.1,3400,163540
RCL,22.25,1500,33375
RDI,0.33,152900,50457
RDL,2.9,7600,22040
RE,6.4,176600,1130240
RES,1.42,11000,15620
RET,5.76,2300,13248
RGL,79.2,9400,744480
RIC,1.51,24800,37448
RKN,5.31,304600,1617426
RME,11.01,84800,933648
RMP,9.26,306300,2836338
RN,0.12,5000,600
RMX,1.57,929700,1459629
RNX,0.63,317900,200277
RON,11.42,45900,524178
RPG,0.03,792500,23775
RSC,0.06,34500,2070
RTCM,185.57,2795300,518723821
RTG,1.1,17600,19360
RTK,4.39,100700,442073
RTRE,162.33,2317100,376134843
RUS,33.77,96700,3265559
RVM,1.09,100,109
RVX,0.75,26200,19650
S,4.27,696900,2975763
RY,75.34,1619300,121998062
SAM,0.18,257000,46260
SAS,0.29,125200,36308
SAP,63.07,198000,12487860
SAU,0.13,0,0
SBB,0.83,146900,121927
SBC,14.05,14800,207940
SBN,10.03,21500,215645
SBR,0.14,1000,140
SBI,0.09,2000,180
SCC,14.5,6500,94250
SCP,3.12,167700,523224
SDI,0.36,18500,6660
SEC,151,1500,226500
SDY,4.91,12700,62357
SEA,9.9,24900,246510
SEQ,1.32,0,0
SES,23.33,140500,3277865
SGQ,0.65,13500,8775
SGF,0.22,11900,2618
SGR,0.15,229300,34395
SII,2.96,385300,1140488
SIS,3.39,13800,46782
SJ,29.5,55000,1622500
SLF,39.16,634100,24831356
SLW,27.62,1223200,33784784
SLR,1.47,2100,3087
SMF,4.95,1293200,6401340
SMA,3.1,15900,49290
SNC,55.35,249000,13782150
SPB,14.02,303800,4259276
SOY,14.43,83300,1202019
SPM,0.33,44800,14784
SQP,3.94,0,0
SQZ,0.21,0,0
SSO,9.05,159900,1447095
ST,0.18,230500,41490
STB,7.02,96000,673920
STN,65.74,188300,12378842
STNC,733.09,5851800,4289896062
STNU,922.56,5851800,5398636608
SU,45.38,2458800,111580344
STP,0.22,609100,134002
SUE,1.3,250300,325390
SUM,7.76,28300,219608
SVC,3.45,208800,720360
SVM,2.19,145400,318426
SVB,0.32,73500,23520
SVY,8.28,176200,1458936
SW,21.42,32000,685440
SWH,0.11,0,0
SWY,0.73,1252600,914398
SXI,0.51,1000,510
SXP,2.58,2800,7224
T,39.45,1023600,40381020
TA,12.88,398200,5128816
TAO,2.64,45200,119328
TBE,1.77,3234600,5725242
TBL,0.81,7400,5994
TC,13.86,1300,18018
TCM,3.1,155900,483290
TCP,9.74,0,0
TCN,7.85,1357100,10653235
TCS,6.61,0,0
TCW,17.29,292500,5057325
TCZ,7.57,0,0
TD,54.3,1615500,87721650
TDG,12.16,415100,5047616
TET,28.82,146500,4222130
TFI,24.2,71900,1739980
TGL,7.71,73600,567456
TGO,5.2,0,0
TGZ,0.71,174400,123824
TH,0.46,69500,31970
THI,57.88,697500,40371300
THO,27.76,68700,1907112
TIH,26.06,42200,1099732
TKM,14.4,30200,434880
TKO,2.47,397200,981084
TLM,11.32,1073900,12156548
TLB,4.7,0,0
TMA,6.15,18600,114390
TMC,9.5,29000,275500
TMB,3.08,184800,569184
TLO,0.36,985400,354744
TML,0.35,115700,40495
TMM,1.8,174800,314640
TNX,2.3,14900,34270
TNP,11.99,7800,93522
TOR,0.05,0,0
TOS,0.62,1700,1054
TOT,22.81,10900,248629
TOU,56.23,163600,9199228
TPL,0.33,347100,114543
TRI,38.57,483400,18644738
TRL,0.68,24500,16660
TRP,50.52,721500,36450180
TRY,1.1,900,990
TT,0.42,275400,115668
TTEN,331.73,34077000,11304363210
TTH,7.48,9800,73304
TTGD,193.11,28927300,5586150903
TTHC,91.37,638100,58303197
TTIN,180.41,8272700,1492477807
TTMN,828.19,11664000,9660008160
TTMT,257.19,40115600,10317331164
TTRE,254.62,2972500,756857950
TTTK,38.67,3454400,133581648
TTTS,119.66,3148500,376749510
TTUT,218.7,2681100,586356570
TV,1.04,490500,510120
TVI,0.02,21800,436
TX,0.79,107500,84925
TXBE,214.57,22570300,4842909271
TXBM,128,22570300,2888998400
TXCT,124.46,2888000,359440480
TXDC,117.54,84284700,9906823638
TXDE,262.11,7098900,1860692679
TXDV,263.15,22468800,5912664720
TXEI,121.48,28737400,3491019352
TXEW,129.05,55845400,7206848870
TXG,1.62,1254400,2032128
TXGM,78.6,62359300,4901440980
TXL,2.56,4000,10240
TXOE,375.23,15562500,5839516875
TXLS,135.12,55845400,7545830448
