,Ticker,MarketCap,AvgVol,Turnover
158,CEW3.DE,5.1M,2924,5006.61727587
159,CFC.DE,4.2M,6763,2951.41015818
160,CGE.DE,7.407B,15905,123851.566884
161,CGYK.DE,1.9M,453362,35415.0204303
162,CHL.DE,55.044B,2505,4609.54424123
163,CHU.DE,82.859B,14524,7534.68512111
165,CLRN.DE,4.647B,1766,25760.3387546
166,CLS1.DE,5.308B,134267,11380791.8765
167,CMAB.DE,9.085B,2160,1534.4358117
168,CMC.DE,158.9B,1106,36605.9966387
169,CNN1.DE,26.905B,1225,23543.4583771
170,CNWK.DE,31.1M,45972,41475.7856786
172,CO9.DE,8.366B,1360,612.041522491
173,COE.DE,100.8M,310,-
174,COK.DE,538.3M,102156,3712174.37247
175,COM.DE,1.073B,33379,275358.05273
176,CON.DE,33.721B,400355,63478522.2443
177,COP.DE,989.5M,41682,635403.349311
178,COR.DE,711.9M,3107,-
179,CRA1.DE,75.794B,551,25815.335
180,CRIH.DE,34.845B,64645,601236.082437
181,CRZ.DE,14.6M,9247,9025.49860822
182,CS1.DE,14.596B,323,670.947916667
183,CSH.DE,102.6M,10052,127362.61438
184,CSX.DE,32.975B,6760,159160.661193
185,CSY.DE,24.1M,10557,16147.0702544
186,CTM.DE,141.9B,7666,87876.8906707
187,CUR.DE,13.2M,9452,27114.2370232
188,CVG.DE,3.084B,1500,408.28744439
189,CVLC.DE,50.658B,2619,35850.0026435
190,CVV.DE,5.368B,19214,573.458583433
191,CWC.DE,338.9M,17600,841860.328848
194,CX6.DE,10.9M,11438,-
195,CXGH.DE,2.298B,4982,3646.64971333
196,CXU.DE,6.942B,177,8777.75066963
197,CY1.DE,14.9M,5992,2182.89877929
198,D1Y.DE,3.855B,1571,161.428628472
199,D2B.DE,9.0M,1291,1122.13787641
200,D2F.DE,28.8M,891,8897.78890426
201,D4D.DE,11.623B,4160,971.878610268
202,D5I.DE,43.8M,50769,16023.4596558
203,D6H.DE,75.5M,5554,45068.0324749
204,D7H.DE,30.0M,90289,-
205,D7N.DE,1.924B,2100,154.250918014
206,D7Q1.DE,44.4M,18932,1938.08439937
207,D7S.DE,8.5M,10195,4613.36076049
208,DAI.DE,72.896B,2895368,195822501.301
209,DAM.DE,65.3M,2150,38400.7600937
210,DAR.DE,32.9M,1634,8883.30729167
211,DB1.DE,10.108B,627782,32613392.5592
214,DBK.DE,26.502B,9036241,219170897.938
215,DCH1.DE,46.213B,963,13132.1218794
216,DCO.DE,24.225B,342,16933.3687593
217,DE1.DE,40.1M,9639,13934.7881038
218,DE6.DE,11.0M,4534,41601.597311
219,DEQ.DE,1.945B,120335,3519335.19247
220,DEX.DE,383.0M,15736,584780.362564
221,DEZ.DE,713.6M,410920,2962878.68966
222,DGR.DE,18.9M,1061,14291.275748
223,DIC.DE,545.7M,161302,825871.225504
224,DIE.DE,54.5M,1724,-
226,DLG.DE,1.638B,543509,10512545.8728
227,DLX.DE,34.2M,8316,13886.5350803
228,DNQ.DE,71.807B,24083,448919.858021
229,DPB.DE,8.190B,4601,329114.384675
230,DPW.DE,31.658B,3816727,103817556.12
231,DR0.DE,104.3M,13448,295693.626315
232,DRI.DE,1.430B,376694,7389716.0591
233,DRN.DE,344.8M,14075,52386.6781394
234,DRW8.DE,1.227B,4320,344324.352852
235,DSK.DE,3.8M,6844,365.967682639
236,DTD2.DE,6.5M,1443,2931.88921763
237,DTE.DE,56.593B,12886141,135445410.135
238,DUE.DE,2.249B,100326,7639898.92349
239,DVN1.DE,192.2M,162,9177.75198263
240,DWD.DE,46.720B,302,2682.28289071
241,DWN.DE,5.007B,566,2112.70529089
242,DWNI.DE,4.522B,476913,8811239.41388
244,E4C.DE,30.3M,3671,26190.6036659
245,E4U.DE,77.3M,8160,5439.86875
246,E7S.DE,50.5M,24414,55217.3765603
247,E8X.DE,5.0M,1865,1035.06726073
249,EBK.DE,7.661B,950,15081.3964216
250,EBO.DE,9.864B,2542,63817.9754381
251,ECF.DE,23.5M,3427,17425.4776777
252,ECK.DE,107.0M,242,8444.14236445
253,ECX.DE,49.0M,137371,505704.710181
254,EDGA.DE,2.052B,2773,9460.9888426
255,EDL.DE,49.2M,10067,26720.8200487
256,EEX.DE,238.3M,1065,12787.0628665
257,EFF.DE,30.0M,11970,30243.1156488
258,EHL.DE,51.2M,3140,5347.27830395
259,EHX.DE,58.6M,2190,9673.90329301
260,EK7.DE,106.5B,6997,513.771626298
261,ELG.DE,277.3M,34011,360690.778243
262,ELN.DE,9.5M,5014,3452.4925535
263,ELO.DE,3.716B,4515,21973.5439817
264,EMP.DE,39.411B,827,20008.0098563
265,EMQ.DE,238K,18666,417.117452426
266,ENA.DE,30.016B,262,2413.22526042
267,ENL.DE,37.832B,32551,165753.881602
268,ENUR.DE,6.001B,975,4331.13392416
269,EOAN.DE,28.846B,9081539,123159156.554
271,ERCB.DE,28.380B,11187,-
272,ERCG.DE,27.280B,535,2221.95007415
273,ERMK.DE,84.5M,18061,82816.033195
274,ERO1.DE,8.2M,256,23.3246966965
275,ERT.DE,8.367B,237,3021.538541
276,ESHB.DE,2.014B,8932,15190.3691462
277,ESY.DE,39.7M,8866,20627.5033175
278,ETG.DE,103.2M,1157,11818.0407556
279,EUCA.DE,97.6M,10734,284047.506999
280,EUZ.DE,132.8M,5051,150519.363036
281,EV4.DE,97.5M,30612,116306.081438
282,EVD.DE,2.057B,61108,2321227.82471
283,EVK.DE,13.243B,205596,4806713.26973
284,EVN.DE,1.746B,350,14450.5486901
285,EVT.DE,479.8M,331275,3525792.35013
286,EWI.DE,25.0M,2027,6744.99040633
288,EZ5.DE,2.247B,11248,447.718522703
289,F2P.DE,260.2M,2394,5875.21213478
290,F2T.DE,22.0M,4160,386.335725915
291,F2Y.DE,18.4M,673,-
292,F3C.DE,39.3M,5992,21721.5402111
293,F5R.DE,35.5M,1124,10590.3572597
294,FAA.DE,41.0M,3599,26283.5086045
295,FAC.DE,98.6M,9750,-
297,FAO2.DE,77.5M,4998,56804.4534584
298,FB2A.DE,127.7B,34804,3087573.89971
299,FCA.DE,10.8M,67329,82655.853125
300,FEE1.DE,5.7M,1509,117.222671786
301,FEV.DE,34.3M,1237,19408.1063357
302,FEW.DE,20.4M,8552,12205.4236296
303,FFM.DE,42.5M,1305,6338.30542182
304,FIAT.DE,8.903B,6126,47441.483325
305,FIE.DE,4.400B,32710,2489321.76891
306,FJH.DE,49.9M,9097,17011.0161587
307,FJZ.DE,3.341B,1299,470.25111221
308,FKR.DE,301.0M,2600,233.917519949
309,FLA.DE,81.6M,2054,3525.84707564
310,FMC1.DE,49.824B,1886,35609.0843122
311,FME.DE,14.757B,713893,36595770.3594
313,FMV.DE,893.6M,2327,28355.0690759
314,FNTN.DE,3.009B,673943,10825864.1312
315,FO4N.DE,6.458B,200,6008.03819961
316,FOH.DE,1.365B,631,7643.54549115
317,FOO.DE,26.509B,454,3587.00414938
318,FOT.DE,17.310B,3151,26834.0397376
319,FPE.DE,4.355B,19997,2423256.61989
320,FPH.DE,73.4M,18584,159874.603071
321,FPMB.DE,27.048B,688,5401.47724729
322,FRA.DE,4.733B,84487,4628165.47585
