,Ticker,MarketCap,AvgVol,Turnover
297,B61.SI,1.595B,36284,163342.458808
300,B69.SI,112.3M,994463,111401.815278
302,B7K.SI,58.8M,83388,13927.9930556
303,B9R.SI,400.0M,255254,158574.583333
304,B9S.SI,112.2M,3468220,789060.193523
305,BN2.SI,158.4M,2492190,292354.595486
306,BN4.SI,19.579B,2931520,33221917.3117
308,BS6.SI,4.234B,2114600,-
311,C04.SI,39.0M,23537,9105.09722222
312,C05.SI,40.6M,29463,5030.52633391
313,C06.SI,94.4M,214209,25032.9909722
314,C07.SI,15.598B,247970,9651809.31979
315,C09.SI,9.548B,883552,7664633.78854
316,C0Z.SI,2.4M,139075,737.983677967
317,C10.SI,40.1M,51716,7416.27708333
318,C11.SI,34.3M,30821,1912.82986111
319,C13.SI,317.3M,160448,51855.446015
320,C14.SI,1.042B,1249910,890949.94456
321,C22.SI,668.5M,307493,151310.140972
322,C29.SI,507.2M,1257390,692458.490728
324,C2PU.SI,1.410B,209612,880643.598958
325,C31.SI,13.626B,8217180,25000712.1795
326,C33.SI,261.4M,411403,67305.2048002
328,C37.SI,43.7M,144702,8213.87395833
329,C38U.SI,6.885B,8048820,14362675.3059
330,C3T.SI,90.2M,255925,67428.5694444
331,C41.SI,132.5M,2478,918.947569444
332,C4P.SI,23.7M,2510330,20487.375
333,C50.SI,45.0M,13881,1916.06822917
334,C52.SI,5.301B,5707000,8487715.51181
336,C59.SI,7.8M,54881,1317.67881944
337,C60.SI,5.5M,13125800,513327.253902
339,C68.SI,222.5M,27729600,8243603.46389
342,C71.SI,43.6M,0,8709.29722222
343,C76.SI,156.7M,15745,41369.8807794
345,C8R.SI,129.1M,2968840,533123.267535
346,C92.SI,5.9M,11060,781.629340278
347,C9Q.SI,51.2M,33731,3025.27170139
348,CC3.SI,7.237B,1755520,7554924.40465
349,CH8.SI,111.7M,168090,53453.7652778
350,CL7.SI,53.9M,541090,20568.3648698
351,CT1.SI,21.6M,1115300,52746.7949932
353,CX5.SI,7.6M,7970,3484.00972222
354,CY6U.SI,757.2M,620910,533778.984375
355,CZ3.SI,16.9M,5328,525.308854167
356,CZ4.SI,87.4M,117194,9947.35
357,D01.SI,14.197B,238903,2122011.15573
358,D03.SI,713.9M,860209,819241.928125
359,D04.SI,99.3M,291209,113479.671181
360,D05.SI,41.231B,3652130,59832828.3163
363,D11.SI,122.3M,1925,1501.390625
366,D2U.SI,14.4M,15990900,170845.378472
367,D2V.SI,23.8M,50313,3705.02222222
368,D38.SI,64.0M,367179,56458.5082901
369,D3W.SI,24.5M,89940,10662.4467554
370,D4N.SI,807.4M,2820060,373831.148437
371,D50.SI,2.0M,53478,335.370603123
373,D5N.SI,38.9M,474970,34930.3171875
374,D6U.SI,42.0M,17478,5030.84375
375,D79.SI,253.0M,249806,107977.955556
376,D8DU.SI,55.6M,377866,31131.746875
377,DC9.SI,28.4M,49239,5059.29408929
379,DM0.SI,152.2M,77403,13655.0355538
380,DT2.SI,20.4M,205134,4309.01041667
381,DU4.SI,643.0M,2334310,1515976.30312
383,E02.SI,360.2M,132970,155302.65
384,E13.SI,55.8M,1887810,126189.911111
385,E15.SI,9.7M,25691400,109205.2375
386,E16.SI,282.2M,35328,47161.8374339
387,E17.SI,46.2M,104328,13551.0763889
388,E18.SI,222.8M,68836,70752.8727122
389,E23.SI,30.7M,789224,292285.452083
390,E25.SI,57.9M,30015,2348.44375
391,E27.SI,11.4M,113716,8391.88368056
392,E28.SI,152.2M,906612,192854.968056
393,E3B.SI,330.9M,1228700,717561.533333
394,E5H.SI,7.253B,27803300,20996313.9099
395,E5P.SI,421.8M,75522,84894.2916667
396,E6A.SI,88.8M,2343,3575.89652778
398,E6R.SI,154.2M,32045,10680.2265625
399,E8Z.SI,698.2M,160716,108529.466069
401,E91.SI,67.8M,53313,10415.2519757
402,E94.SI,44.7M,18866,3103.13194444
403,E9A.SI,153.0M,53045,12828.1591226
404,E9L.SI,10.3M,76657,59370.7456828
405,EB5.SI,3.802B,2146220,4837498.4625
406,EB7.SI,24.9M,58254,4865.89969181
407,EE6.SI,132.1M,76522,13363.3824653
408,EG0.SI,116.6M,22445000,2185333.72153
409,EH5.SI,717.3M,70152,25302.0570368
411,ER0.SI,221.7M,773955,263116.862847
413,F01.SI,261.7M,3384210,1297086.41518
414,F03.SI,213.1M,169015,50233.74375
415,F06.SI,31.9M,4552790,0
417,F10.SI,112.6M,551746,57191.4736111
418,F11.SI,63.1M,218298,11127.6389869
420,F13.SI,76.2M,1434250,114330.024276
421,F17.SI,2.386B,61343,207953.209722
422,F18.SI,74.7M,80761,3890.04872506
423,F1E.SI,487.6M,213030,91489.0394449
425,F20.SI,57.7M,15791100,565188.9375
426,F22.SI,40.7M,165970,14586
427,F25U.SI,12.672B,527045,3853352.74167
428,F2X.SI,45.9M,1427670,53123.5965278
429,F31.SI,1.544B,1496380,364552.203125
430,F34.SI,20.477B,7051000,22081240.9765
431,F3EU.SI,485.7M,244388,16659.3877516
432,F3V.SI,322.6M,3135630,235038.297569
434,F6D.SI,17.0M,5143610,115620.119792
435,F83.SI,1.590B,1123570,1161316.84896
