Ticker,MarketCap,Turnover
EZJ.L,5.793B,1926779600.28
FBH.L,526.5M,1333251.87934
FCCN.L,59.0M,9065745.90124
FDL.L,207.8M,27964243.7222
FDSA.L,821.6M,64475246.1967
FENR.L,670.4M,164735151.034
FGP.L,1.571B,376015846.163
FLYB.L,260.0M,78373210.2742
FOUR.L,165.0M,18899353.728
FOXT.L,798.6M,438723458.577
FQM.L,7.134B,27989195.7494
FRES.L,6.348B,1030545519.91
FRO.L,145.5M,435380.856046
FSJ.L,700.7M,44422610.6265
FSTA.L,523.0M,13014401.1118
FTC.L,25.7M,11952088.0177
FTO.L,263.9M,14815326.3377
FUTR.L,31.2M,4654863.69567
FXPO.L,758.6M,168158211.258
GAW.L,197.0M,30067440.2541
GDWN.L,278.3M,5432447.09113
GEC.L,189.0B,16593645.4195
GEMD.L,196.2M,17849278.1059
GENL.L,2.692B,0
GFRD.L,921.0M,162444368.511
GFS.L,3.911B,1126432242.54
GHT.L,78.7M,6351938.45891
GKN.L,6.051B,1513086444.61
GKP.L,826.1M,665869200.958
GLB.L,3.269B,31725129.8895
GLE.L,200.5M,6336366.9681
GLEN.L,42.586B,7342245144.01
GNC.L,1.074B,341037445.711
GNK.L,1.823B,254899266.384
GNS.L,672.8M,103346930.257
GOG.L,1.006B,111733141.388
GPG.L,499.5M,27420798.2991
GPRT.L,33.0M,869817.638697
GRG.L,528.6M,99875484.1053
GRI.L,857.1M,107676170.188
GRN.L,384.4M,9135356.43284
GSK.L,75.219B,10591336436.6
HAS.L,2.065B,372810960.996
HDY.L,75.6M,5569619.39874
HEAD.L,347.7M,31345530.5756
HFD.L,938.9M,200809913.896
HFG.L,368.0M,27513197.9477
HGG.L,2.547B,311006197.327
HID.L,857K,0
HIK.L,3.287B,296417481.543
HILS.L,394.4M,31688851.706
HLCL.L,406.9M,39804119.3927
HLMA.L,2.205B,253214906.424
HNT.L,170.3M,9343900.27331
HOC.L,595.3M,95310083.7158
HOIL.L,887.4M,220416415.68
HOME.L,1.382B,357297197.619
HON.L,72.830B,2549173.73296
HRG.L,233.1M,21520528.6736
HRN.L,29.1M,1845059.15814
HSBA.L,114.8B,15155625908.5
HSD.L,130.9M,12099066.2765
HSV.L,1.017B,74582474.2823
HSX.L,2.133B,187905535.477
HTG.L,1.240B,178643667.844
HTY.L,642.4M,87443600.1928
HVN.L,78.8M,8220053.04797
HVT.L,15.7M,48274.0585774
HWC.L,1.2M,49634.155748
HYC.L,180.2M,20885798.6996
HYNS.L,29.2M,815622.730694
IAG.L,7.601B,2895421206.15
IAP.L,2.407B,476837295.565
IBM.L,199.0B,18975540.1457
ICP.L,1.510B,420475.904413
IFL.L,43.3M,10919963.1625
