Ticker,MarketCap,Turnover
D1Y.DE,3.855B,161.428628472
D2B.DE,9.0M,1122.13787641
D2F.DE,28.8M,8897.78890426
D4D.DE,11.623B,971.878610268
D5I.DE,43.8M,16023.4596558
D6H.DE,75.5M,45068.0324749
D7H.DE,30.0M,0
D7N.DE,1.924B,154.250918014
D7Q1.DE,44.4M,1938.08439937
D7S.DE,8.5M,4613.36076049
DAI.DE,72.896B,195822501.301
DAM.DE,65.3M,38400.7600937
DAR.DE,32.9M,8883.30729167
DB1.DE,10.108B,32613392.5592
DBK.DE,26.502B,219170897.938
DCH1.DE,46.213B,13132.1218794
DCO.DE,24.225B,16933.3687593
DE1.DE,40.1M,13934.7881038
DE6.DE,11.0M,41601.597311
DEQ.DE,1.945B,3519335.19247
DEX.DE,383.0M,584780.362564
DEZ.DE,713.6M,2962878.68966
DGR.DE,18.9M,14291.275748
DIC.DE,545.7M,825871.225504
DIE.DE,54.5M,0
DLG.DE,1.638B,10512545.8728
DLX.DE,34.2M,13886.5350803
DNQ.DE,71.807B,448919.858021
DPB.DE,8.190B,329114.384675
DPW.DE,31.658B,103817556.12
DR0.DE,104.3M,295693.626315
DRI.DE,1.430B,7389716.0591
DRN.DE,344.8M,52386.6781394
DRW8.DE,1.227B,344324.352852
DSK.DE,3.8M,365.967682639
DTD2.DE,6.5M,2931.88921763
DTE.DE,56.593B,135445410.135
DUE.DE,2.249B,7639898.92349
DVN1.DE,192.2M,9177.75198263
DWD.DE,46.720B,2682.28289071
DWN.DE,5.007B,2112.70529089
DWNI.DE,4.522B,8811239.41388
E4C.DE,30.3M,26190.6036659
E4U.DE,77.3M,5439.86875
E7S.DE,50.5M,55217.3765603
E8X.DE,5.0M,1035.06726073
EBK.DE,7.661B,15081.3964216
EBO.DE,9.864B,63817.9754381
ECF.DE,23.5M,17425.4776777
ECK.DE,107.0M,8444.14236445
ECX.DE,49.0M,505704.710181
EDGA.DE,2.052B,9460.9888426
EDL.DE,49.2M,26720.8200487
EEX.DE,238.3M,12787.0628665
EFF.DE,30.0M,30243.1156488
EHL.DE,51.2M,5347.27830395
EHX.DE,58.6M,9673.90329301
EK7.DE,106.5B,513.771626298
ELG.DE,277.3M,360690.778243
ELN.DE,9.5M,3452.4925535
ELO.DE,3.716B,21973.5439817
EMP.DE,39.411B,20008.0098563
EMQ.DE,238K,417.117452426
ENA.DE,30.016B,2413.22526042
ENL.DE,37.832B,165753.881602
ENUR.DE,6.001B,4331.13392416
EOAN.DE,28.846B,123159156.554
ERCB.DE,28.380B,0
ERCG.DE,27.280B,2221.95007415
ERMK.DE,84.5M,82816.033195
ERO1.DE,8.2M,23.3246966965
ERT.DE,8.367B,3021.538541
ESHB.DE,2.014B,15190.3691462
ESY.DE,39.7M,20627.5033175
ETG.DE,103.2M,11818.0407556
EUCA.DE,97.6M,284047.506999
EUZ.DE,132.8M,150519.363036
EV4.DE,97.5M,116306.081438
EVD.DE,2.057B,2321227.82471
EVK.DE,13.243B,4806713.26973
EVN.DE,1.746B,14450.5486901
EVT.DE,479.8M,3525792.35013
EWI.DE,25.0M,6744.99040633
EZ5.DE,2.247B,447.718522703
F2P.DE,260.2M,5875.21213478
F2T.DE,22.0M,386.335725915
F2Y.DE,18.4M,0
F3C.DE,39.3M,21721.5402111
F5R.DE,35.5M,10590.3572597
FAA.DE,41.0M,26283.5086045
FAC.DE,98.6M,0
FAO2.DE,77.5M,56804.4534584
FB2A.DE,127.7B,3087573.89971
FCA.DE,10.8M,82655.853125
FEE1.DE,5.7M,117.222671786
FEV.DE,34.3M,19408.1063357
FEW.DE,20.4M,12205.4236296
FFM.DE,42.5M,6338.30542182
FIAT.DE,8.903B,47441.483325
FIE.DE,4.400B,2489321.76891
FJH.DE,49.9M,17011.0161587
FJZ.DE,3.341B,470.25111221
FKR.DE,301.0M,233.917519949
FLA.DE,81.6M,3525.84707564
FMC1.DE,49.824B,35609.0843122
FME.DE,14.757B,36595770.3594
FMV.DE,893.6M,28355.0690759
FNTN.DE,3.009B,10825864.1312
FO4N.DE,6.458B,6008.03819961
FOH.DE,1.365B,7643.54549115
FOO.DE,26.509B,3587.00414938
FOT.DE,17.310B,26834.0397376
FPE.DE,4.355B,2423256.61989
FPH.DE,73.4M,159874.603071
FPMB.DE,27.048B,5401.47724729
FRA.DE,4.733B,4628165.47585
FRE.DE,19.484B,38909520.3952
FRS.DE,14.3M,4566.70597958
FT8.DE,95.6M,19749.7693924
FW1.DE,22.1M,184899.795732
FYB.DE,60.4M,76912.663994
FZM.DE,5.019B,2504.39400466
G1A.DE,6.668B,12002955.4433
G2A.DE,4.625B,563.604803837
G6P.DE,2.8M,2526.2015721
G8O1.DE,6.7M,0
GAN.DE,23.293B,8462.17476935
GBF.DE,3.676B,9947333.98957
GBRA.DE,9.611B,6638.74425371
GE1.DE,6.050B,459586.676407
GFIN.DE,2.130B,1478.16773127
GFJ.DE,2.813B,3388426.48968
GFK.DE,1.409B,258686.559829
GFT.DE,258.5M,405262.369708
GHH.DE,689.5M,5158.48612386
GIB.DE,2.080B,2857438.00235
GIL.DE,2.000B,6591896.44421
GIN.DE,11.304B,913.326389379
GIS.DE,91.880B,258020.779888
GKS.DE,78.6M,63481.0054271
GLJ.DE,1.076B,442241.609898
GLW.DE,21.197B,10682.1421157
GM2.DE,14.663B,10477.0127753
GME.DE,39.6M,31024.7079533
GMM.DE,467.7M,1603501.73201
GNV.DE,2.867B,106.228091236
GO5.DE,16.252B,74663.0945537
GO8.DE,34.6M,8106.36200347
GOS.DE,57.147B,19480.1054562
GRF.DE,29.2M,24553.445773
GRU.DE,2.288B,5804.261875
GS7.DE,94.354B,300640.856498
GSC1.DE,254.0M,255517.54653
GTK.DE,15.8M,7792.32822541
GTQ1.DE,2.182B,38562.4094816
GWI1.DE,1.657B,3232525.53978
GWM.DE,14.7M,0
GXI.DE,1.581B,4959814.78616
H2FA.DE,45.6M,22107.8885874
H2R.DE,37.6M,18427.9877453
H4G.DE,61.3M,17644.3792301
H4I.DE,29.0M,1110.21389682
H5E.DE,95.5M,105084.253164
H8K.DE,44.8M,9829.28634983
H9O1.DE,10.3M,1200.45433378
H9W.DE,84.4M,3828.70760316
HAL.DE,43.375B,26167.3415732
HAR.DE,11.124B,9272.68508955
HAW.DE,384.9M,154785.932582
HBC1.DE,143.9B,356593.544983
HBM.DE,1.031B,136457.951944
HDD.DE,632.1M,4236148.14763
HDI.DE,80.648B,15568.666725
HEI.DE,11.562B,42432332.4021
HEN.DE,32.119B,6674253.6565
HG1.DE,376.5M,187249.488804
HHFA.DE,1.405B,1153434.41466
HHX.DE,8.4M,274.839700586
HJ1.DE,19.2M,262.593937575
HLBN.DE,21.233B,22191.4756569
HLG.DE,158.0M,115903.058401
HMSB.DE,52.656B,42012.3680608
HNL.DE,86.5M,91461.4675195
HNR1.DE,7.949B,12188191.7003
HOO.DE,4.543B,0
HOT.DE,4.407B,9763643.17232
HP3.DE,25.9M,10801.3325922
HSB.DE,22.818B,644.082215239
HUWA.DE,42.340B,4870.61513889
HWSA.DE,29.7M,0
HXCI.DE,12.1M,1550.76482843
HYF.DE,579.0M,2131.7780501
HYQ.DE,74.9M,14087.3881304
HYW.DE,4.6M,2517.42310184
I3M.DE,96.0M,56180.3984451
I4T.DE,13.8M,30.543076054
I7N.DE,26.3M,16766.9374661
IBB.DE,84.1M,8863.12937449
IBE1.DE,35.589B,75669.7990581
IC8.DE,11.3M,2251.39771713
ICK.DE,164.1B,5422.7755102
IDE.DE,16.0M,3680.2933422
IDP.DE,54.556B,28970.6370687
IES.DE,38.597B,42801.5354073
IFM.DE,98.1M,4346.43425561
IFX.DE,10.130B,52238824.4584
IKF.DE,41.770B,894.52015625
IKH.DE,14.9M,17935.2214597
INH.DE,866.5M,911909.039841
INP.DE,15.389B,0
INV.DE,3.8M,0
INW.DE,9.0M,947.701895975
IO0.DE,294.2M,12101.3154532
IQPB.DE,17.6M,22645.3572241
IS7.DE,17.7M,23884.1234827
IS8.DE,15.7M,28025.3772868
ISH2.DE,49.8M,70249.4439523
ISR.DE,218.0M,284298.438228
ITA.DE,1.874B,4621.1264441
ITK.DE,134.6B,82538.8465075
ITN.DE,17.6M,7294.78825651
IU2.DE,9.977B,34079.7229042
IVG.DE,2.1M,131147.577861
IVU.DE,47.0M,83706.6036309
IVX.DE,135.1M,82013.2384937
IWB.DE,85.5M,8553.0945576
IXD.DE,70.045B,79680.5795417
IXX.DE,214.9M,170056.232847
JEN.DE,678.8M,1172324.81672
JIX.DE,4.047B,129.456579861
JT9.DE,24.3M,1852.20263889
JTT.DE,22.7M,10183.9634993
JY8.DE,275.5M,181979.22806
K1R.DE,38.2M,5000.60189773
KA8.DE,26.1M,3525.65776159
KB7.DE,74.4M,23842.7561667
KBC.DE,277.9M,560127.552669
KCO.DE,1.106B,6168522.32941
KD8.DE,9.490B,8401666.24898
KGX.DE,3.089B,2300893.77182
KIN2.DE,3.536B,25797.7584076
KN1.DE,15K,368.099508062
KRN.DE,2.289B,3006933.44808
KSB.DE,903.5M,29720.6364559
KSC.DE,224.1M,67124.7836698
KSW.DE,7.1M,4923.14436735
KU2.DE,1.505B,4604317.26506
KW9A.DE,24.029B,7141.0601355
KWG.DE,272.1M,317474.216978
KWS.DE,1.702B,661527.72483
