Ticker,MarketCap,Turnover
AKS.HM,161K,0
EUK2.HM,430.9M,4536.48717634
GBQ.HM,41.7M,25049.992262
HGL.HM,1.7M,196.804537736
I8CK.HM,844K,250.568932617
IRP.HM,6.5M,1261.03769192
KAE.HM,250.9M,130.403231736
MDQ.HM,2.6M,0
N5E.HM,3.6M,42.7784473408
N9VA.HM,780K,0
OFL.HM,3.5M,689.294433636
OML.HM,3.0M,6315.11747672
OPP.HM,14K,1.9655643284
SBH.HM,13.7M,479.850422787
T1W.HM,6.9M,2877.64309098
UYN.HM,110K,46.8130714003
