Ticker,MarketCap,Turnover
MLM.MI,135.9M,1518389.1425
MN.MI,233.5M,524894.046813
MOL.MI,182.4M,43925.2464418
MON.MI,54.5M,34917.0580347
MS.MI,3.952B,33438874.7232
MSK.MI,264.0M,908573.591502
MT.MI,712.5M,5666085.8097
MTF.MI,13.1M,81715.3127529
MTV.MI,46.8M,779947.336013
MUV2.MI,27.911B,12376.2539171
NICE.MI,309.9M,84092.7108244
NOE.MI,37.8M,16097.6748481
NOK1V.MI,20.667B,795222.085673
NR.MI,12.0M,362.402851191
NRST.MI,36.5M,37984.4658322
OLI.MI,14.1M,110009.343166
OR.MI,76.414B,29098.3309116
PAN.MI,61.9M,56383.6364209
PC.MI,5.806B,23915498.0648
PCP.MI,5.002B,409055.36477
PFG.MI,408.9M,1072072.78353
PG.MI,27.3M,0
PGR.MI,17.995B,421.052292502
PHIA.MI,20.371B,25391.1206036
PIA.MI,943.5M,1766369.39681
PINF.MI,110.3M,259583.725565
PLT.MI,4.584B,3334744.85371
PMI.MI,2.169B,37147758.6496
POL.MI,43.8M,27501.9323016
POPR.MI,7.5M,2816.79942578
PQ.MI,95.8M,151175.708811
PR.MI,59.1M,34107.8704223
PRI.MI,141.9M,188278.885524
PRL.MI,11.4M,236723.064617
PRM.MI,41.5M,94430.4280387
PRO.MI,236.2M,944781.192714
PRS.MI,409.9M,797652.842912
PRT.MI,402.7M,1024652.5383
PRY.MI,3.372B,17635958.6138
PSF.MI,7.9M,30053.5941773
RAT.MI,64.0M,38911.0207454
RCS.MI,662.2M,3447692.71377
REC.MI,2.489B,2262918.87731
REY.MI,515.6M,824261.943033
RIC.MI,23.3M,99395.7416012
RM.MI,108.4M,330825.201099
RN.MI,145.2M,146735.125225
RNO.MI,18.259B,35502.3500989
ROS.MI,16.3M,36149.7002153
RWE.MI,19.119B,75921.0211945
S24.MI,116.0M,253579.220252
SAB.MI,143.9M,118873.220444
SANF.MI,102.1B,100556.680584
SANT.MI,88.154B,83947.1940792
SAP.MI,67.194B,22390.5901507
SAT.MI,139.8M,46794.0263081
SAVE.MI,675.1M,320446.382241
SFER.MI,3.628B,10482254.8895
SFL.MI,1.018B,3044428.37676
SG.MI,159.0M,88808.3180266
SGR.MI,144.3M,89455.5920525
SIE.MI,81.694B,151112.257313
SII.MI,6.1M,79145.8209065
SIS.MI,2.109B,1067481.59784
SNA.MI,211.6M,437920.795329
SO.MI,451.6M,893950.252974
SOL.MI,605.9M,162864.911241
SPM.MI,8.838B,42251302.9416
SPMR.MI,8.789B,1279.42098353
SRG.MI,14.819B,26737448.7601
SRI.MI,127.2M,166015.532186
SRN.MI,1.041B,2375149.71342
SRS.MI,940.6M,1746179.9761
SSB.MI,17.1M,171837.536199
SSL.MI,34.8M,152030.270706
STEF.MI,29.2M,136911.706395
STEFR.MI,12.341B,2087.75510204
STM.MI,5.914B,31092994.9545
STS.MI,1.402B,6535482.15051
TAS.MI,25.5M,28377.9223053
TBS.MI,69.2M,28702.5584286
TEF.MI,56.210B,24172.5750074
TEN.MI,20.140B,23960196.8546
TER.MI,76.8M,176122.720408
TES.MI,66.8M,253176.628876
TFI.MI,460.0M,681632.36554
TIP.MI,355.5M,615398.823235
TIS.MI,108.5M,2022541.23686
TIT.MI,17.979B,89531049.0977
TITR.MI,14.171B,12711481.3974
TME.MI,145.9M,81682.757927
TMER.MI,71.8M,3434.68123827
TOD.MI,2.827B,12341971.9473
TOT.MI,120.0B,75652.4517312
TRN.MI,7.867B,21111673.1515
TXT.MI,89.0M,967260.397583
UBI.MI,5.913B,38295810.846
UCG.MI,35.102B,367405160.714
UCGR.MI,47.335B,33432.0351534
UNA.MI,91.590B,33848.2451804
UNI.MI,2.906B,8066963.91853
UNIP.MI,2.710B,4443417.18737
VAS.MI,649.8M,423613.238984
VIN.MI,41.0M,19394.6925649
VITA.MI,1.5M,1335.6665691
VIV.MI,24.443B,8841.89086326
VLA.MI,225.3M,125995.889568
VLS.MI,157.0M,248712.227407
VRW.MI,28.5M,2248.45295363
XPR.MI,39.0M,110104.781989
YOOX.MI,1.146B,14708973.6672
YRM.MI,142.1M,358.096072726
YSF.MI,4.3M,3653.34345139
ZUC.MI,19.8M,213225.286112
ZUCR.MI,58.8M,9014.19784439
ZV.MI,479.4M,299949.286164
