Ticker,MarketCap,Turnover
AXI.AX,19.5M,2740.18937346
AXT.AX,1.4M,488.158847127
AXZ.AX,82.8M,4760.76440972
AYA.AX,24.7M,22092.4944444
AYB.AX,5.4M,1061.15494792
AYC.AX,9.5M,856.249548611
AYG.AX,7.7M,1608.98340249
AYI.AX,478K,0
AYM.AX,2.1M,185.328558393
AYR.AX,2.6M,12382.7847317
AZJ.AX,10.815B,29581649.9146
AZK.AX,5.1M,2860.31438853
AZM.AX,15.7M,25943.54625
AZQ.AX,5.5M,0
AZS.AX,20.0M,48044.5216667
AZV.AX,64.4M,113720.772882
AZY.AX,2.4M,5546.71369295
AZZ.AX,135.1M,216191.019167
BAB.AX,24.8M,14394.1928686
BAR.AX,3.0M,795.115597183
BAS.AX,3.1M,5389.66006944
BAU.AX,31.2M,33227.6003857
BBG.AX,230.3M,1674071.82333
BBL.AX,24.0M,1022.89244331
BBR.AX,16.3M,12104.6955631
BBX.AX,1.1M,592.206076389
BCD.AX,4.2M,3869.34310764
BCI.AX,406.5M,0
BCK.AX,419.1M,12744.5465972
BCN.AX,4.5M,651.124119764
BCT.AX,4.8M,13091.3797972
BDI.AX,2.9M,0
BDR.AX,494.2M,3588327.66142
BEL.AX,10.3M,6335.72939764
BEN.AX,5.117B,12699070.6482
BEZ.AX,15.2M,2662.71944444
BFE.AX,8.0M,867.883402778
BFG.AX,148.9M,41101.2339931
BGA.AX,753.6M,1610209.56993
BGG.AX,75.5M,8547.55685764
BGH.AX,2.4M,564.658321999
BGL.AX,144.3M,325340.408533
BGS.AX,8.0M,49447.2352778
BHP.AX,194.2B,241859178.647
BIS.AX,12.3M,9352.03236859
BIT.AX,24.0M,51130.6443229
BKI.AX,866.0M,325988.15637
BKL.AX,456.9M,300701.495446
BKM.AX,1.0M,0
BKN.AX,644.9M,5531797.34125
BKP.AX,4.5M,625.305005079
BKW.AX,1.982B,742527.829238
BKY.AX,52.3M,32949.6599576
BLA.AX,153.6M,111988.840938
BLD.AX,4.197B,19056135.4357
BLG.AX,36.5M,14359.2833854
BLK.AX,17.8M,8829.14865447
BLR.AX,8.7M,14231.875
BLT.AX,97.5M,341484.004924
BLY.AX,91.4M,1144610.98698
BLZ.AX,3.4M,0
BMB.AX,24.1M,24794.6288804
BMG.AX,1.3M,1776.79034452
BML.AX,7.4M,8575.3990625
BMN.AX,25.3M,20094.9633333
BMY.AX,1.8M,728.689450939
BMZ.AX,3.5M,2775.42854167
BND.AX,44.2M,115376.848438
BNE.AX,388K,14318.3503637
BNO.AX,237.8M,339830.330039
BNR.AX,1.9M,1122.68980903
BNV.AX,1.8M,9.3645081868
BOA.AX,5.6M,6034.62281986
BOC.AX,180.5M,12234.2060571
BOE.AX,13.8M,7051.82394097
BOL.AX,59.4M,144415.521806
BOQ.AX,3.984B,17666730.8561
BPG.AX,1.8M,0
BPH.AX,1.6M,657.720225694
BPL.AX,2.6M,618.941909722
BPO.AX,8.7M,0
BPT.AX,2.205B,6702074.80028
BRB.AX,5.7M,1134.16108538
BRC.AX,25.9M,4087.18170139
BRD.AX,679K,0
BRG.AX,1.090B,2072291.01627
BRO.AX,1.7M,0
BRU.AX,340.3M,1234314.03646
BSA.AX,25.2M,24089.8699747
BSE.AX,179.8M,187922.888021
BSL.AX,3.140B,16717969.9531
BSM.AX,652K,1621.47869355
BSN.AX,1.5M,2006.50333333
BSP.AX,1.2M,904.85484375
BSR.AX,10.8M,11401.4454514
BTN.AX,437K,985.29375
BTR.AX,25.5M,184531.820243
BTT.AX,1.641B,1194978.05541
BUE.AX,1.3M,1006.36479167
BUG.AX,10.5M,3681.49171875
BUL.AX,57.0M,81187.8252096
BUR.AX,6.7M,6134.82041667
BUX.AX,16.4M,24198.312047
BUY.AX,10.3M,5697.49790809
BWF.AX,12.1M,4623.66152442
BXB.AX,14.384B,36314281.7237
BXN.AX,3.4M,7667.80315422
BYI.AX,69.8M,46055.4840654
BYL.AX,41.8M,47904.4626986
BYR.AX,6.0M,1852.85552083
BZL.AX,5.3M,119.414930556
CAA.AX,56.8M,105626.097657
CAB.AX,493.9M,1309453.56457
CAF.AX,36.2M,25054.1208313
CAJ.AX,189.6M,619102.044025
CAM.AX,69.1M,0
CAP.AX,7.2M,4183.89883094
CAQ.AX,35.7M,20881.471875
CAS.AX,44.3M,72739.688125
CAV.AX,1.9M,672.898263889
CAY.AX,4.7M,3542.59317708
CAZ.AX,8.1M,5620.5999208
CBA.AX,131.8B,226211011.461
CBS.AX,4.7M,5448.84130783
CBX.AX,5.3M,23664.703125
CCF.AX,2.5M,1416.40402197
CCJ.AX,3.4M,2742.18458333
CCL.AX,7.269B,0
CCP.AX,395.8M,796188.963229
CCV.AX,456.1M,914101.422188
CDA.AX,136.2M,499637.160345
CDB.AX,2.7M,50000.9707812
CDD.AX,928.5M,3014408.02083
CDG.AX,22.9M,18724.975
CDI.AX,586.6M,897052.592222
CDP.AX,397.6M,67934.1170607
CDT.AX,1.2M,915.029286686
CDU.AX,361.5M,0
CDV.AX,1.8M,3284.59293056
CDY.AX,19.1M,100989.629792
CEL.AX,26.3M,53909.6691146
CES.AX,764K,111.303111172
CFE.AX,50.8M,110907.942361
CFU.AX,22.8M,90127.8266667
CGF.AX,3.907B,0
CGH.AX,115.4M,67976.0170139
CGI.AX,183K,3.1119791667
CGM.AX,1.3M,281.049618056
CGO.AX,26.8M,11561.7327525
CGR.AX,16.5M,24032.2940721
CGS.AX,29.7M,9123.78815792
CGU.AX,1.3M,2051.65589435
CHC.AX,1.348B,2641956.25694
CHF.AX,6.9M,1598.23591192
CHN.AX,36.5M,37185.3518018
CHP.AX,1.4M,1441.75358551
CHR.AX,20.3M,1431.19104167
CHZ.AX,22.0M,36160.5234375
CII.AX,60.5M,6951.4790625
CIN.AX,710.8M,36948.3924301
CIR.AX,10.2M,4697.95809028
CIW.AX,37.0M,21745.8616667
CIX.AX,80.5M,112128.907656
CJT.AX,5.4M,9.5518672199
CKA.AX,66.0M,108160.793437
CKF.AX,189.7M,224130.615003
CKK.AX,2.5M,3175.87190972
CKL.AX,53.1M,35807.3969965
CLA.AX,2.0M,33914.8986111
CLH.AX,235.4M,509887.661354
CLQ.AX,7.8M,14163.5955903
CLT.AX,9.3M,2097.69690972
CLV.AX,72.3M,41384.416935
CLX.AX,129.4M,39059.0277778
CLY.AX,1.7M,1398.49833333
CMC.AX,4.5M,2052.99065099
CMG.AX,173.9M,200740.142778
CMI.AX,51.0M,22836.2447222
CMP.AX,26.1M,2488.28076389
CMT.AX,8.3M,5717.35140625
CMW.AX,1.713B,0
CMY.AX,1.8M,11963.1648264
CNB.AX,96.2M,91.9369270833
CND.AX,22.8M,20131.7508681
CNI.AX,61.5M,22211.62625
CNL.AX,7.5M,2255.00512153
CNN.AX,8.1M,0
CNQ.AX,31.1M,8402.81902778
CNS.AX,456K,0
CNU.AX,626.0M,711761.291504
CNX.AX,20.0M,26922.1755208
COE.AX,166.3M,182943.091545
COF.AX,59.3M,72325.5108333
COH.AX,3.555B,14142316.2206
COI.AX,73.3M,56662.5212674
COJ.AX,344K,139.247916667
COK.AX,112.5M,156486.639314
COM.AX,9.7M,4355.17125
COO.AX,35.6M,15497.8868056
COT.AX,1.4M,969.378151261
COY.AX,4.0M,2734.01138889
COZ.AX,24.6M,9314.61930556
CPD.AX,1.7M,1489.30477431
CPL.AX,39.8M,163861.503229
CPU.AX,6.980B,17754512.365
CQC.AX,33.4M,3795.84927083
