Ticker,MarketCap,Turnover
CA.PA,19.381B,69775524.6204
CAF.PA,2.064B,85744.816601
CAFO.PA,79.1M,22621.5307855
CAM.PA,23.9M,64771.1065983
CAP.PA,8.372B,32525426.3166
CAPLI.PA,23.3M,17616.397472
CARP.PA,23.3M,55.1835884368
CARPD.PA,84.7M,546.949467123
CAS.PA,32.5M,62302.4747116
CAT31.PA,345.9M,53031.4467184
CATR.PA,48.977B,5747.69236067
CBDG.PA,4.478B,0
CBE.PA,258.2M,134.980304967
CC.PA,5.875B,82290.0184225
CCA.PA,15.1M,72.5640398753
CCE.PA,8.755B,1439.06537321
CCN.PA,618.5M,79087.0259799
CDA.PA,392.8M,208314.846414
CDI.PA,26.120B,9512352.77656
CEN.PA,483.3M,374620.952119
CFAO.PA,1.997B,61633.0707796
CGD.PA,274.0M,261585.954658
CGG.PA,1.846B,18407808.8533
CGM.PA,368.6M,299415.60764
CHAU.PA,188.0M,1860.15453161
CHSR.PA,7.1M,41.4987832846
CIB.PA,9.9M,32648.9180111
CIEM.PA,1.7M,250.026267361
CIV.PA,375.1M,29080.3444618
CMA.PA,2.818B,1516114.95671
CMO.PA,291.2M,34780.7553245
CNF.PA,934.8M,167443.480656
CNP.PA,10.512B,4958090.64112
COH.PA,9.4M,31143.7888517
COM.PA,313.5M,82418.7130043
COUR.PA,7.0M,1031.8491623
COX.PA,164.7M,1351649.32407
CRAP.PA,510.5M,31158.9633235
CRAV.PA,703.3M,32781.8146916
CRBP2.PA,752.3M,112564.60097
CRI.PA,79.8M,910904.372122
CRLA.PA,1.021B,53322.1340025
CRLO.PA,535.0M,19027.4918648
CRSU.PA,500.1M,35848.3236342
CRTO.PA,427.1M,29143.9793771
CS.PA,42.462B,110610973.399
CTRG.PA,160.8M,171135.211412
CU.PA,601.6M,629676.847093
CV.PA,15.6M,2451.790224
DBG.PA,381.8M,829677.472117
DBT.PA,6.4M,2464.21292915
DBV.PA,293.4M,344194.956216
DEC.PA,6.091B,3875143.68621
DEVR.PA,38.6M,0
DG.PA,30.786B,70752499.9281
DGE.PA,57.335B,23891.3693738
DGM.PA,21.6M,354005.971247
DIG.PA,1.4M,1120.1186954
DIM.PA,2.039B,973697.420388
DLT.PA,24.2M,15455.0216733
DLTA.PA,81.4M,40221.4670612
DNX.PA,53.8M,52364.9840864
DP.PA,39.7M,854.421263633
DPAM.PA,21.8M,1273.35417797
DPT.PA,115.0M,81529.3146984
DSY.PA,11.668B,19199869.7714
DUC.PA,3.7M,611.890968295
DUPP.PA,45.366B,6664.65275468
DVT.PA,158.2M,102758.370757
EC.PA,1.913B,264491.051347
ECASA.PA,107.1M,51764.6266697
ECP.PA,142.3M,134841.298402
EDEN.PA,4.964B,16238289.2212
EDF.PA,42.916B,37349028.7388
EDI.PA,17.7M,939.90339805
EDL.PA,154.1M,212221.834387
EEM.PA,12.9M,8061.29696609
EI.PA,16.511B,42816393.8727
EKI.PA,38.9M,235684.192541
ELE.PA,3.760B,1603430.74052
ELEC.PA,778.6M,53460.8199436
EME.PA,10.6M,202.723446718
EMG.PA,26.8M,75158.9584566
EN.PA,9.822B,35199365.9389
EO.PA,3.456B,10623375.9369
EOS.PA,9.2M,19315.2765276
EOSI.PA,102.1M,266035.696252
ERA.PA,2.372B,2044955.13055
ERF.PA,3.423B,2790778.22482
ERFNV.PA,3.410B,-
ES.PA,458.9M,135496.23431
ESI.PA,143.6M,115007.588454
ETL.PA,5.482B,11294351.1919
EUR.PA,173.7M,65093.5892579
EURS.PA,716.8M,31362.4511826
EXAC.PA,84.8M,2136.75360273
EXE.PA,384.5M,182711.653648
EXPL.PA,64.3M,3501.0322825
FAUV.PA,6.6M,36.9838673577
FAYE.PA,4.9M,1305.35365277
FBEL.PA,1.951B,88418.6716794
FCMC.PA,208.3M,0
FED.PA,10.8M,986.839448357
FEM.PA,286.9M,126410.696276
FFP.PA,1.211B,350494.75291
FGR.PA,4.447B,7162643.56604
FII.PA,1.187B,585950.378075
FIM.PA,1.577B,165913.920642
FIPP.PA,12.7M,3403.46767389
FLE.PA,243.8M,62389.272912
FLO.PA,118.4M,66965.1276413
FNTS.PA,606.3M,14023.3884058
FORDP.PA,48.281B,4318.68419671
FORE.PA,84.6M,0
FP.PA,120.1B,200216429.928
FPG.PA,6.7M,20423.5770734
FR.PA,7.679B,27456489.0098
FSOR.PA,9.000B,15187.2318412
GAM.PA,171.3M,9833.04493969
GBB.PA,1.642B,2569561.16692
GBT.PA,377.5M,741943.290209
GDMS.PA,53.1M,0
GDS.PA,979.8M,118709.013358
GEA.PA,100.3M,114582.957756
GENP.PA,787.8M,251407.114021
GET.PA,5.192B,7682928.18053
GFI.PA,375.9M,80066.7492295
GFT.PA,517.7M,1469906.31608
GID.PA,4.1M,40447.0508219
GIRO.PA,29.7M,18018.0818168
GLE.PA,30.037B,180644753.104
GLO.PA,403.0M,289080.866566
GND.PA,1.095B,542033.442972
GNE.PA,192.9B,43346.0625173
GOE.PA,253.5M,416996.073458
GPE.PA,77.4M,105103.392271
GREV.PA,43.8M,345.700775547
GRVO.PA,34.1M,4616.39983544
GSP.PA,48.3M,5502.24088773
GSZ.PA,47.807B,92278174.6538
GUI.PA,14.0M,23844.154304
GUYD.PA,8.7M,650.672747326
HAV.PA,2.478B,4323844.56035
HBW.PA,25.6M,62106.6102134
HCO.PA,50.1M,56006.5248157
HDP.PA,20.8M,2121.55881375
HF.PA,35.5M,45547.6451393
HIM.PA,120.0M,374630.650899
HO.PA,9.004B,10259850.8633
HSB.PA,143.0B,284078.433739
HXL.PA,2.650B,0
IAM.PA,7.422B,124521.874623
IDIP.PA,184.4M,21363.4333775
IDL.PA,367.4M,270421.792511
IGE.PA,91.6M,86128.3002398
ILD.PA,12.973B,24497981.9488
INF.PA,134.3M,416570.388474
INFE.PA,69.6M,1701.17806061
ING.PA,3.405B,10077777.3246
INN.PA,9.9M,95677.5965849
INSD.PA,167.2M,308854.139108
IPH.PA,406.1M,4373177.90114
IPN.PA,2.740B,2198666.44264
IPS.PA,1.265B,2174535.97449
ITE.PA,18.6M,8086.50548835
ITL.PA,5.1M,9007.71548117
ITP.PA,790.0M,501617.696959
ITS.PA,45.5M,30272.1746468
ITXT.PA,5.5M,371.586043629
JBOG.PA,149.4M,0
JXR.PA,86.3M,1284635.71319
KEY.PA,19.9M,26920.044397
KN.PA,14.995B,16812638.3971
KOF.PA,515.0M,39433.2602721
KORI.PA,2.191B,1047682.63081
LACR.PA,76.3M,27117.6661559
LAF.PA,108.8M,52403.501145
LAGB.PA,527.7M,0
LAN.PA,276.5M,49132.3875457
LAT.PA,129.7M,817065.835316
LAX.PA,496K,15.132780083
LBON.PA,136.7M,25506.36596
LCO.PA,201.2M,87631.9690482
LD.PA,207.7M,36380.0936608
LEBL.PA,1.6M,22.1036139185
LEX.PA,14.3M,90320.6608778
LEY.PA,759.1M,520069.423047
LG.PA,18.153B,41544425.843
LIN.PA,169.7M,225734.930494
LNA.PA,141.1M,162569.861347
LNC.PA,211.6M,51543.8274015
LPE.PA,422.9M,159396.72027
LR.PA,11.739B,24694390.1105
LSS.PA,237.5M,217286.677369
LTA.PA,429.2M,216482.996519
LTAN.PA,22.8M,802.434778803
LTE.PA,90.4M,50383.3117067
MAIR.PA,24.3M,276.303286007
MALA.PA,315.6M,0
MALT.PA,129.7M,436.715276941
MAN.PA,343.2M,180202.134084
MAU.PA,1.448B,3138365.73579
MC.PA,70.682B,108096397.905
MCLC.PA,8.9M,23417.6404475
MED.PA,21.3M,48679.8503177
MEMS.PA,13.0M,76745.8637454
METEX.PA,58.1M,1223681.01987
MF.PA,4.934B,6779962.59694
MFC.PA,240.2M,114612.298542
