Ticker,MarketCap,Turnover
CT1.SI,21.6M,52746.7949932
CX5.SI,7.6M,3484.00972222
CY6U.SI,757.2M,533778.984375
CZ3.SI,16.9M,525.308854167
CZ4.SI,87.4M,9947.35
D01.SI,14.197B,2122011.15573
D03.SI,713.9M,819241.928125
D04.SI,99.3M,113479.671181
D05.SI,41.231B,59832828.3163
D11.SI,122.3M,1501.390625
D2U.SI,14.4M,170845.378472
D2V.SI,23.8M,3705.02222222
D38.SI,64.0M,56458.5082901
D3W.SI,24.5M,10662.4467554
D4N.SI,807.4M,373831.148437
D50.SI,2.0M,335.370603123
D5N.SI,38.9M,34930.3171875
D6U.SI,42.0M,5030.84375
D79.SI,253.0M,107977.955556
D8DU.SI,55.6M,31131.746875
DC9.SI,28.4M,5059.29408929
DM0.SI,152.2M,13655.0355538
DT2.SI,20.4M,4309.01041667
DU4.SI,643.0M,1515976.30312
E02.SI,360.2M,155302.65
E13.SI,55.8M,126189.911111
E15.SI,9.7M,109205.2375
E16.SI,282.2M,47161.8374339
E17.SI,46.2M,13551.0763889
E18.SI,222.8M,70752.8727122
E23.SI,30.7M,292285.452083
E25.SI,57.9M,2348.44375
E27.SI,11.4M,8391.88368056
E28.SI,152.2M,192854.968056
E3B.SI,330.9M,717561.533333
E5H.SI,7.253B,20996313.9099
E5P.SI,421.8M,84894.2916667
E6A.SI,88.8M,3575.89652778
E6R.SI,154.2M,10680.2265625
E8Z.SI,698.2M,108529.466069
E91.SI,67.8M,10415.2519757
E94.SI,44.7M,3103.13194444
E9A.SI,153.0M,12828.1591226
E9L.SI,10.3M,59370.7456828
EB5.SI,3.802B,4837498.4625
EB7.SI,24.9M,4865.89969181
EE6.SI,132.1M,13363.3824653
EG0.SI,116.6M,2185333.72153
EH5.SI,717.3M,25302.0570368
ER0.SI,221.7M,263116.862847
F01.SI,261.7M,1297086.41518
F03.SI,213.1M,50233.74375
F06.SI,31.9M,0
F10.SI,112.6M,57191.4736111
F11.SI,63.1M,11127.6389869
F13.SI,76.2M,114330.024276
F17.SI,2.386B,207953.209722
F18.SI,74.7M,3890.04872506
F1E.SI,487.6M,91489.0394449
F20.SI,57.7M,565188.9375
F22.SI,40.7M,14586
F25U.SI,12.672B,3853352.74167
F2X.SI,45.9M,53123.5965278
F31.SI,1.544B,364552.203125
F34.SI,20.477B,22081240.9765
F3EU.SI,485.7M,16659.3877516
F3V.SI,322.6M,235038.297569
F6D.SI,17.0M,115620.119792
F83.SI,1.590B,1161316.84896
F86.SI,38.7M,21924.8385417
F99.SI,4.393B,2438269.89687
F9D.SI,968.2M,736648.502431
F9M.SI,275.5M,48678.432706
FO8.SI,47.5M,90226.0151042
FP1.SI,22.8M,18739.1
FQ7.SI,173.3M,160480.85625
FQ8.SI,29.8M,25661.215716
FV2.SI,38.6M,28830.6574653
G05.SI,1.332B,1708623.01997
G07.SI,10.493B,425028.03125
G08.SI,111.2M,93440.1114583
G0I.SI,70.0M,26269.5720486
G10.SI,2.657B,231.329983719
G11.SI,93.0M,50199.932074
G13.SI,16.460B,22309101.1625
G18.SI,56.3M,379799.685417
G20.SI,267.1M,33957.928125
G31.SI,62.9M,30197.5722222
G41.SI,278.1M,25171.6232639
G4F.SI,284.9M,1956252.62813
G50.SI,44.1M,47365.0350694
G54.SI,6.7M,10217.325
G77.SI,30.7M,0
G92.SI,722.6M,123929.774981
GG7.SI,126.6M,79614.4833333
GH3.SI,43.9M,21052.7821181
GJ8.SI,158.9M,1044752.55746
GU5.SI,11.6M,14510.6694444
H02.SI,1.859B,541592.563542
H06.SI,50.8M,3514.04548611
H07.SI,570.1M,147990.597958
H12.SI,327.6M,14142.698645
H13.SI,1.489B,629569.292535
H15.SI,2.053B,1071874.57172
H16.SI,9.6M,8129.453125
H17.SI,470.5M,110189.566667
H18.SI,727.9M,34938.7427902
H19.SI,209.1M,33623.3256944
H20.SI,39.0M,18303.1442296
H22.SI,596.4M,176586.816667
H27.SI,75.2M,86974.3568465
H30.SI,878.5M,420548.677881
H64.SI,123.9M,61951.6904514
H73.SI,126.4M,21292.5546875
H78.SI,15.764B,9048086.625
I03.SI,119.9M,437604.086706
I04.SI,51.4M,247992.645099
I06.SI,46.4M,8000.49583333
I07.SI,147.6M,1255097.05928
I11.SI,56.1M,1020900.22344
I12.SI,116.9M,103036.147743
I15.SI,204.6M,9906.6
I26.SI,62.4M,2807882.48859
I4U.SI,111.5M,592240.388715
I54.SI,23.2M,1925.69166667
I5H.SI,10.9M,229.682291667
I85.SI,74.9M,24761.4114583
I9T.SI,27.8M,16894.1881944
IW5.SI,31.2M,10016.3447917
IX2.SI,139.1M,39767.081834
J03.SI,38.3M,10975.1572917
J10.SI,145.1M,1057218.38467
J11.SI,12.0M,186.870833333
J16.SI,751.3M,2081086.8525
J17.SI,18.8M,3248.41076389
J18.SI,26.5M,2074.44010417
J2T.SI,137.7M,21472.8541667
J36.SI,18.413B,14172190.4597
J37.SI,22.471B,6497609.84177
J74.SI,85.0M,70198.4953771
J7X.SI,458.7M,726379.413542
J85.SI,1.710B,1993476.62471
J8O.SI,78.4M,4516.84027479
J91U.SI,966.4M,1658428.42222
JA9.SI,16.2M,1879.66650023
JS8.SI,9.160B,18909425.4913
K01.SI,400.6M,515379.839063
K03.SI,55.8M,9962.69451284
K11.SI,996.0M,268566.65625
K14.SI,132.2M,14419.3645833
K17.SI,5.318B,7420198.88586
K1Q.SI,131.2M,18307.4961806
K22.SI,53.8M,5361.2734375
K29.SI,62.8M,7402.65625
K2LU.SI,932.9M,1227683.77008
K2M.SI,50.6M,2721.80782011
K2N.SI,576.8M,2066968.45698
K2P.SI,176.5M,69668.7729206
K3DD.SI,2.885B,870.612139143
K3ED.SI,38.419B,778.808020833
K3HD.SI,4.949B,29.1318429299
K3ID.SI,31.871B,100.006927083
K3KD.SI,448.6M,2.2800721276
K3OD.SI,192.3B,1711.75104167
K3PD.SI,167.8B,534.351639502
K6J.SI,84.7M,7247.53125
K6S.SI,54.896B,350.694444444
K75.SI,141.4M,85157.4056921
KF4.SI,117.7M,141506.239583
KI3.SI,79.9M,373425.614236
KJ5.SI,84.3M,40550.69375
KJ9.SI,217.7M,379408.148611
KT9.SI,15.0M,39568.8854167
L02.SI,334.3M,212567.8375
L03.SI,365.5M,737791.175
L05.SI,61.8M,4165.35659722
L08.SI,64.1M,5466.21373599
L09.SI,284.3M,9.3293184643
L10.SI,26.6M,1819.61691431
L15.SI,39.0M,2846.59664951
L17.SI,118.9M,40318.1479167
L18.SI,45.1M,2624.31354167
L19.SI,142.1M,65219.9279514
L20.SI,23.0M,101582.448133
L23.SI,58.5M,39172.1208313
L25.SI,457.4M,7339.131902
L28.SI,109.3M,119674.229783
L34.SI,5.1M,288.218178062
L38.SI,304.8M,426037.448785
L46.SI,21.8M,1327.26041667
L6T.SI,87.0M,1097124.38284
LG2U.SI,418.8M,786449.761458
LJ3.SI,2.220B,1802571.34116
LS9.SI,29.6M,11727.9478659
M01.SI,828.0M,387666.227338
M03.SI,26.5M,7223.82673611
M04.SI,1.901B,503947.134175
M05.SI,264.2M,52479.1694358
M06.SI,49.7M,3201.9625
M09.SI,43.9M,44348.8572917
M11.SI,13.9M,9300.14118214
M14.SI,72.7M,43050.0875
M15.SI,13.0M,18305.3541667
M1P.SI,332.4M,303512.113083
M1Z.SI,133.1M,128478.35
M22.SI,26.4M,92291.3427799
M26.SI,68.5M,18950.5333333
M30.SI,45.8M,2858.49340278
M35.SI,2.130B,320285.013368
M41.SI,109.2M,344075.28828
M44U.SI,2.828B,3532548.3
M9F.SI,129.7M,154955.286583
MC0.SI,12.805B,29815756.1637
MC7.SI,85.4M,147957.5625
ME8U.SI,2.372B,0
MF5.SI,39.3M,81032.5934471
MF6.SI,47.9M,4966.88245726
MN5.SI,671.3M,246050.138021
MQ4.SI,622.5M,59224.7586991
MR7.SI,39.6M,14744.9027778
MR8.SI,20.5M,1679.84079861
MS7.SI,1.286B,3690805.33737
MV4.SI,670.6M,376999.792359
N01.SI,276.9M,243690.031508
N02.SI,640.7M,145398.819444
N03.SI,2.468B,2681063.19444
N08.SI,127.4M,21999.6866319
N0L.SI,38.3M,12201.6633667
N14.SI,21.1M,118359.904272
N21.SI,9.148B,27930007.0636
N2H.SI,88.505B,162696.331527
N32.SI,16.2M,2038.28463697
N4E.SI,830.7M,1779932.34115
NC2.SI,761.6M,7649.2859375
NC9.SI,128.0M,5008.165
ND8U.SI,909.4M,964312.6875
NF1.SI,65.7M,71808.4296069
NI3.SI,324.0M,344546.038808
NO4.SI,383.7M,490144.706531
NR7.SI,353.8M,243546.836458
NS8U.SI,6.316B,7018758.29234
O02.SI,2.1M,132.12169212
O05.SI,65.6M,2020429.80833
O08.SI,70.7M,304930.715104
O10.SI,725.2M,131870.193351
O23.SI,1.982B,3085508.50226
O2F.SI,46.9M,237541.341919
O2I.SI,31.4M,2555.625
O2R.SI,1.8M,209.6015625
O32.SI,5.808B,9399283.09017
O39.SI,32.974B,37234067.8129
O9E.SI,535.1M,104885.229167
