Ticker,Turnover
MAW,11020
MBC,73964
MBN,31476
MBA,35113
MBT,5587600
MBX,53410
MCB,132252
MDA,3521040
MCZ,520
MDF,59861
MDI,768341
MDN,2880
MEG,11424281
ME,4716
MEQ,251840
MET,0
MFI,1932480
MFC,42896013
MG,51352440
MGA,37259
MGO,26980
MIC,1641255
MGT,840
MKP,96212
ML,21070
MLP,469224
MM,18096
MMM,5760
MND,271200
MNR,0
MOZ,696
MPI,2425
MOL,10927
MPC,0
MPV,79341
MRC,130104
MRD,561108
MRE,1097500
MRN,0
MSI,1663508
MSV,48608
MTY,599625
MTL,5858892
MWE,4960
MX,21307384
MXF,19227
MXG,4354
NA,21443760
NAL,5141080
NBD,3154569
NCU,144300
NDM,97811
NDN,108480
NDQ,3432
NGD,3007249
NG,518753
NGQ,85360
NHC,27030
NI,16572
NII,10017
NIO,0
NKO,197424
NLN,123200
NOA,422008
NPI,2402505
NRE,0
NRG,94146
NRI,36636
NSU,418656
NUS,25190
NVA,4326003
NWC,1315416
NWI,18446
NXJ,48000
OCX,4584195
OGC,1260968
OGD,4500
ONC,46760
ONE,8328
OPM,0
ORA,10080
ORE,77600
ORV,7290
ORL,3540
OSU,0
OTC,10494159
OXF,2223
P,5825388
PAA,2703874
PBH,654110
PBL,41796
PD,13687380
PDC,0
PDN,259380
PDV,13734
PEY,11305850
PFB,0
PFH,59220
PG,882104
PGD,10660
PGL,0
PIH,4140
PLG,163530
PLI,234459
PLS,139620
PME,56573
PMT,5318656
PNP,126864
POM,1287
POT,31989672
POU,8253069
POW,15831284
PPS,7212
PRE,28024363
PRI,1090
PRW,17418105
PSB,569400
PSI,626652
PSD,628368
PSR,180
PTM,44226
PTQ,960
PTS,67905
PUR,77660
PTZ,14400
PWC,12580
PWE,1062
PVG,5766117
PWF,21280406
PXX,485100
PZG,612
QEC,15372
QLT,526541
QQC,26816
R,1659542
RBA,1507392
RBM,0
RBS,10350
RC,2670
RCH,163540
RCL,33375
RDI,50457
RDL,22040
RE,1130240
RES,15620
RET,13248
RGL,744480
RIC,37448
RKN,1617426
RME,933648
RMP,2836338
RN,600
RMX,1459629
RNX,200277
RON,524178
RPG,23775
RSC,2070
RTCM,518723821
RTG,19360
RTK,442073
RTRE,376134843
RUS,3265559
RVM,109
RVX,19650
S,2975763
RY,121998062
SAM,46260
SAS,36308
SAP,12487860
SAU,0
SBB,121927
SBC,207940
SBN,215645
SBR,140
SBI,180
SCC,94250
SCP,523224
SDI,6660
SEC,226500
SDY,62357
SEA,246510
SEQ,0
SES,3277865
SGQ,8775
SGF,2618
SGR,34395
SII,1140488
SIS,46782
SJ,1622500
SLF,24831356
SLW,33784784
SLR,3087
SMF,6401340
SMA,49290
SNC,13782150
SPB,4259276
SOY,1202019
SPM,14784
SQP,0
SQZ,0
SSO,1447095
ST,41490
STB,673920
STN,12378842
STNC,4289896062
STNU,5398636608
SU,111580344
STP,134002
SUE,325390
SUM,219608
SVC,720360
SVM,318426
SVB,23520
SVY,1458936
SW,685440
SWH,0
SWY,914398
SXI,510
SXP,7224
T,40381020
TA,5128816
TAO,119328
TBE,5725242
TBL,5994
TC,18018
TCM,483290
TCP,0
TCN,10653235
TCS,0
TCW,5057325
TCZ,0
TD,87721650
TDG,5047616
TET,4222130
TFI,1739980
TGL,567456
TGO,0
TGZ,123824
TH,31970
THI,40371300
THO,1907112
TIH,1099732
TKM,434880
TKO,981084
TLM,12156548
TLB,0
TMA,114390
TMC,275500
TMB,569184
TLO,354744
TML,40495
TMM,314640
TNX,34270
TNP,93522
TOR,0
TOS,1054
TOT,248629
TOU,9199228
TPL,114543
TRI,18644738
TRL,16660
TRP,36450180
TRY,990
TT,115668
TTEN,11304363210
TTH,73304
TTGD,5586150903
TTHC,58303197
TTIN,1492477807
TTMN,9660008160
TTMT,10317331164
TTRE,756857950
TTTK,133581648
TTTS,376749510
TTUT,586356570
TV,510120
TVI,436
TX,84925
TXBE,4842909271
TXBM,2888998400
TXCT,359440480
TXDC,9906823638
TXDE,1860692679
TXDV,5912664720
TXEI,3491019352
TXEW,7206848870
TXG,2032128
TXGM,4901440980
TXL,10240
TXOE,5839516875
TXLS,7545830448
TXPR,1826092128
TXSI,3006972000
U,538720
UEX,51996
UFS,1131428
UNS,820990
UNC,85800
URB,22932
URZ,312
URE,105203
VCM,60175
VEM,24558
VET,25338897
VFF,2346
VGQ,56074
VGZ,14418
VIC,444312
VLN,16965
VNP,235246
VRX,40397594
WB,822185
WCP,29751128
WDN,1305
WDO,20667
WEF,1287144
WEW,70522
WFC,0
WFI,13901720
WFS,1620
WFT,8679410
WIN,171185
WJA,10604955
WJX,678974
WLC,52080
WM,1000
WN,6421779
WPK,1436776
WPT,1616900
WRN,88150
WPX,39018
WS,91672
X,893200
XAL,0
XBB,1071840
XBM,2848
XCB,1425204
XBZ,7130
XCH,53732
XCG,15816
XCR,0
XCS,4691358
XCV,19736
XDC,1299576
XDV,1167940
XEB,1260745
XEG,4553640
XEM,60168
XEI,159188
XFN,1086780
XGB,253708
XGC,0
XGR,0
XGD,3249885
XHB,65844
XHC,24654
XEN,6546
XHG,0
XHY,1519792
XIC,1344250
XIG,104175
XIN,672660
XID,84600
XIT,40334
XIU,36737000
XLA,0
XLB,125776
XMA,403260
XMD,2018592
XPF,59520
XQQ,6340
XRB,975800
XRC,12628
XRE,1785960
XRG,8118
XSP,5986008
XSB,1283242
XSR,219905
XST,347892
XTC,29406
XSU,908565
XTD,8992
XTG,9193
XTR,246600
XUT,42210
XWD,132639
XYM,37440
YCM,0
YRI,22050006
ZAG,122845
ZAZ,1275
ZCH,0
ZCM,157486
ZCL,1113160
ZCN,182430
ZCS,467680
ZDJ,127688
ZEB,3887392
ZEF,70479
ZDM,256902
ZEO,10446
ZEM,37421
ZFL,11732
ZFM,0
ZFS,19097
ZGI,76232
ZHY,2665044
ZID,48352
ZJG,200128
ZJN,6270704
ZJO,713601
ZLC,42624
ZMI,23254
ZMT,0
ZNC,7436
ZPS,22944
ZRE,274206
ZQQ,41510
ZRR,50025
ZUB,214136
ZUH,169500
ZUE,24024
ZUT,171490
ZWB,561412
ZXB,0
ZXC,47940
ZXD,0
