Ticker,AvgTurnover
ALUA,3919200
APBR,444015000
BHIP,3173222
BMA,228165150
BPAT,2719840
COME,2455548
EDN,80799552
ERAR,16671501
FRAN,440470580
GGAL,371941760
LEDE,1700050
MIRG,180000900
MOLI,11012400
PAMP,40753920
PESA,12947650
TECO2,199017000
TRAN,4677568
TS,3688330880
YPFD,15143741800
