Ticker,MarketCap,Turnover
0191.HK,2.045B,837236.684027
0193.HK,493.6M,134244.748954
0194.HK,3.521B,8024023.94681
0195.HK,1.847B,6523704.31749
0196.HK,6.253B,38235045.3236
0197.HK,774.6M,1508325.72395
0198.HK,2.583B,2963093.61874
0199.HK,2.873B,791447.519479
0200.HK,35.848B,110567301.127
0201.HK,3.489B,626664.249306
0202.HK,2.128B,6985782.41921
0204.HK,1.408B,8587210.99271
0205.HK,522.0M,87105.0694444
0206.HK,2.649B,3614466.31668
0207.HK,15.686B,3644471.5757
0208.HK,5.460B,3836313.82986
0209.HK,347.3M,20731044.9863
0210.HK,4.848B,26645435.9919
0211.HK,456.7M,761779.376875
0212.HK,1.353B,57706.0476563
0213.HK,824.6M,244662.934375
0214.HK,1.431B,593196.105937
0215.HK,13.879B,20127186.2653
0216.HK,688.8M,261290.534896
0217.HK,1.186B,294910.160018
0218.HK,1.513B,2967846.46694
0219.HK,918.3M,690323.999167
0220.HK,25.223B,31910212.4653
0221.HK,480.0M,9813528.6362
0222.HK,1.919B,572952.400694
0223.HK,595.1M,1953353.53859
0224.HK,1.096B,113373.776932
0225.HK,1.294B,51228.9910642
0226.HK,2.223B,916520.13581
0227.HK,1.343B,4783510.86629
0228.HK,950.5M,2143484.20609
0229.HK,422.1M,209775.646094
0230.HK,2.804B,2619434.7442
0231.HK,1.338B,2160673.2096
0232.HK,1.340B,2947391.99229
0233.HK,762.8M,1987438.255
0234.HK,882.5M,203223.525052
0235.HK,654.7M,3851208.48873
0236.HK,531.1M,65635.0542882
0237.HK,1.312B,69030.9500869
0238.HK,977.5M,1048149.93743
0239.HK,936.0M,122914.937415
0240.HK,300.6M,398579.851875
0241.HK,49.120B,60078485.6466
0242.HK,11.601B,26425556.4226
0243.HK,260.8M,3019018.44932
0244.HK,281.3M,557045.090133
0245.HK,371.5M,2198039.35274
0247.HK,30.026B,18185.95625
0248.HK,161.6M,285961.590468
0250.HK,916.1M,899720.681152
0251.HK,3.121B,232962.402118
0252.HK,629.3M,1779.73833333
0253.HK,516.8M,92566.1036806
0254.HK,569.8M,1227751.28743
0255.HK,1.763B,491154.193056
0256.HK,4.230B,3356510.40609
0257.HK,49.414B,133410619.17
0258.HK,3.235B,314013.523906
0259.HK,1.233B,422327.557549
0260.HK,868.0M,1202241.20025
0261.HK,654.1M,389432.0375
0262.HK,298.6M,109393.412066
0263.HK,134.2M,104370.173792
0264.HK,162.7M,473467.963889
0265.HK,893.3M,360590.834782
0266.HK,4.156B,46887.7548611
0267.HK,49.480B,115529542.78
0268.HK,6.636B,66852956.6519
0269.HK,8.832B,15426464.1219
0270.HK,55.411B,54901604.2116
0271.HK,922.8M,810371.783333
0272.HK,15.044B,17809747.9321
0273.HK,918.7M,39786489.2545
0275.HK,353.1M,703173.276094
0276.HK,1.500B,2783957.23167
0277.HK,1.494B,7143.1875
0278.HK,659.5M,8001.05030905
0279.HK,825.6M,3433869.87368
0280.HK,626.9M,1065511.42632
0281.HK,821.8M,61402.3075
0282.HK,2.091B,1693847.36734
0283.HK,16.551B,8700996.54524
0285.HK,15.050B,35920606.6932
0286.HK,1.554B,4260639.20842
0287.HK,256.0M,11239.72986
0289.HK,6.313B,462129.219366
0290.HK,369.1M,695028.229886
0291.HK,51.926B,71156426.6781
